timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
38658414,0.0,0.0,0.0,-0.004549899,0.005920718,0.20118713,-0.016359732,0.010217942,0.004696369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25737453,0.2574913,4.059319,0.0025044163,0.002511342,0.0025026696,0.0,0.0,0.0,0.0,0.0,0.0,0.00057756685,0.0029236053,0.008828791,0.0,0.0,0.0,0.0,0.0,0.0
38860812,0.0,0.0,0.0,-0.0050517987,0.005229678,-0.007904053,0.011781752,0.011702444,-0.0060506463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25730804,0.25742203,4.059109,0.0025044135,0.0025111702,0.0025026542,0.0,0.0,0.0,0.0,0.0,0.0,0.000519388,0.002761303,0.0073970743,0.0,0.0,0.0,0.0,0.0,0.0
39061656,0.0,0.0,0.0,-0.004849059,0.0052060895,0.028305054,0.021392867,-0.0009066239,-0.0014614463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25729883,0.2574125,4.05912,0.0025043993,0.0025111428,0.0025026463,0.0,0.0,0.0,0.0,0.0,0.0,0.00015681518,0.0013366594,0.004048932,0.0,0.0,0.0,0.0,0.0,0.0
39262409,0.0,0.0,0.0,-0.005706647,0.0051622763,0.26457214,-0.030415699,0.008210387,-0.0021042228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2571552,0.25726518,4.05853,0.0025043753,0.0025111048,0.0025026405,0.0,0.0,0.0,0.0,0.0,0.0,0.0013820721,0.0034921505,0.009852412,0.0,0.0,0.0,0.0,0.0,0.0
39464032,0.0,0.0,0.0,-0.006648562,0.004762405,-0.097595215,0.016160652,0.00016658008,-0.016293228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2571889,0.2573002,4.058625,0.0025043807,0.0025110352,0.0025026323,0.0,0.0,0.0,0.0,0.0,0.0,0.0010994528,0.0035912192,0.010602646,0.0,0.0,0.0,0.0,0.0,0.0
39673651,0.0,0.0,0.0,-0.0064351554,0.0046404004,-0.12081909,-0.0007221401,-0.020585455,0.016021103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25717553,0.25728577,4.0585446,0.0025043606,0.0025109535,0.0025026216,0.0,0.0,0.0,0.0,0.0,0.0,0.0012542021,0.0038018597,0.012396818,0.0,0.0,0.0,0.0,0.0,0.0
39874477,0.0,0.0,0.0,-0.007031509,0.0038114744,-0.20880127,0.0131690055,0.014202636,-0.013248503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2570981,0.25720584,4.058161,0.0025043553,0.0025108727,0.0025026102,0.0,0.0,0.0,0.0,0.0,0.0,0.00049934373,0.0012313641,0.0020686062,0.0,0.0,0.0,0.0,0.0,0.0
40076873,0.0,0.0,0.0,-0.005830243,0.0038267865,-0.04547119,0.020240992,-0.0048900507,0.009234965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2570175,0.25712258,4.05775,0.0025043446,0.0025108028,0.0025025997,0.0,0.0,0.0,0.0,0.0,0.0,0.00042101336,0.0019111065,0.005183102,0.0,0.0,0.0,0.0,0.0,0.0
40277607,0.0,0.0,0.0,-0.007536245,0.0034083691,-0.08357239,-0.007307932,0.0034153424,0.00016635656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25698885,0.25709286,4.0575404,0.0025043294,0.0025106093,0.0025025771,0.0,0.0,0.0,0.0,0.0,0.0,0.001767935,0.005233333,0.015812641,0.0,0.0,0.0,0.0,0.0,0.0
40480032,0.0,0.0,0.0,-0.007016404,0.0031436493,0.03175354,0.0015357882,0.014735144,-0.026690722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25700846,0.25711432,4.0575523,0.0025043215,0.002510573,0.002502574,0.0,0.0,0.0,0.0,0.0,0.0,0.00050275517,0.002133179,0.007383036,0.0,0.0,0.0,0.0,0.0,0.0
40681648,0.0,0.0,0.0,-0.007907262,0.0026791652,0.27653503,0.020433053,0.0016659088,0.0059593916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25722522,0.25733754,4.0584536,0.0025043173,0.0025104466,0.0025025613,0.0,0.0,0.0,0.0,0.0,0.0,0.00012833036,0.00076024915,0.0011923626,0.0,0.0,0.0,0.0,0.0,0.0
40884028,0.0,0.0,0.0,-0.010292205,0.0014114236,-0.114486694,-0.00018426776,0.008954033,0.00049853325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25712422,0.25723225,4.058079,0.0025043003,0.0025102112,0.002502534,0.0,0.0,0.0,0.0,0.0,0.0,0.0018129507,0.0030860303,0.0074063945,0.0,0.0,0.0,0.0,0.0,0.0
