timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
37797520,inf,1,0,0,0
38802450,inf,1,0,0,0
39809498,inf,1,0,0,0
40820399,inf,1,0,0,0
41510401,inf,0,0,1,0
41804422,inf,0,0,0,1
42140400,inf,1,0,0,0
42621489,inf,0,0,1,0
43631412,inf,0,0,1,0
44638748,inf,0,0,1,0
45121485,inf,0,0,0,0
46129877,inf,0,0,0,0
47140413,inf,0,0,0,0
48151411,inf,0,0,0,0
49160414,inf,0,0,0,0
50170399,inf,0,0,0,0
51176399,inf,0,0,0,0
52183457,inf,0,0,0,0
53188280,inf,0,0,0,0
54199425,inf,0,0,0,0
54492404,inf,0,0,1,0
54639441,inf,0,0,0,0
55648413,inf,0,0,0,0
56658774,inf,0,0,0,0
57668423,inf,0,0,0,0
58677487,inf,0,0,0,0
59223552,inf,0,0,1,0
59495625,inf,0,0,0,1
59830411,inf,1,0,0,0
60840399,inf,1,0,0,0
61575424,inf,0,0,0,0
62586008,inf,0,0,0,0
63593399,inf,0,0,0,0
63908403,inf,0,0,1,0
64181787,inf,0,0,0,1
64517505,inf,1,0,0,0
65525399,inf,1,0,0,0
66366686,inf,0,0,1,0
66850414,inf,0,0,0,1
67187414,inf,1,0,0,0
67332405,inf,0,0,1,0
67960412,inf,0,0,0,1
68295770,inf,1,0,0,0
69304401,inf,1,0,0,0
70315423,inf,1,0,0,0
71324414,inf,1,0,0,0
72333533,inf,1,0,0,0
73008406,inf,0,0,1,0
74015508,inf,0,0,1,0
75021815,inf,0,0,1,0
76029496,inf,0,0,1,0
77040410,inf,0,0,1,0
78048410,inf,0,0,1,0
79055410,inf,0,0,1,0
80064411,inf,0,0,1,0
80801500,inf,0,0,0,0
81812399,inf,0,0,0,0
82824403,inf,0,0,0,0
83834399,inf,0,0,0,0
84843417,inf,0,0,0,0
85849402,inf,0,0,0,0
86862399,inf,0,0,0,0
87873484,inf,0,0,0,0
88882399,inf,0,0,0,0
89887548,inf,0,0,0,0
90896412,inf,0,0,0,0
91905853,inf,0,0,0,0
92911411,inf,0,0,0,0
93921489,inf,0,0,0,0
94932399,inf,0,0,0,0
95937521,inf,0,0,0,0
96940399,inf,0,0,0,0
97949177,inf,0,0,0,0
98957826,inf,0,0,0,0
99966399,inf,0,0,0,0
100973211,inf,0,0,0,0
101980412,inf,0,0,0,0
102989486,inf,0,0,0,0
103999455,inf,0,0,0,0
105009003,inf,0,0,0,0
106016402,inf,0,0,0,0
107025530,inf,0,0,0,0
108034469,inf,0,0,0,0
109044399,inf,0,0,0,0
110052201,inf,0,0,0,0
111062411,inf,0,0,0,0
112069502,inf,0,0,0,0
113076415,inf,0,0,0,0
114083411,inf,0,0,0,0
115092411,inf,0,0,0,0
116099412,inf,0,0,0,0
117108411,inf,0,0,0,0
118118768,inf,0,0,0,0
119128399,inf,0,0,0,0
120133534,inf,0,0,0,0
121141531,inf,0,0,0,0
122149465,inf,0,0,0,0
123161168,inf,0,0,0,0
124169519,inf,0,0,0,0
125178399,inf,0,0,0,0
126184410,inf,0,0,0,0
127193465,inf,0,0,0,0
128201399,inf,0,0,0,0
129206453,inf,0,0,0,0
130217520,inf,0,0,0,0
131226401,inf,0,0,0,0
132237399,inf,0,0,0,0
133245485,inf,0,0,0,0
134253399,inf,0,0,0,0
135258905,inf,0,0,0,0
136261399,inf,0,0,0,0
137270411,inf,0,0,0,0
138279415,inf,0,0,0,0
139291568,inf,0,0,0,0
140300399,inf,0,0,0,0
141309498,inf,0,0,0,0
142321465,inf,0,0,0,0
143330452,inf,0,0,0,0
144339570,inf,0,0,0,0
145349399,inf,0,0,0,0
146360399,inf,0,0,0,0
147370411,inf,0,0,0,0
148381511,inf,0,0,0,0
149388561,inf,0,0,0,0
150396399,inf,0,0,0,0
151403390,inf,0,0,0,0
152407417,inf,0,0,0,0
153411435,inf,0,0,0,0
154418409,inf,0,0,0,0
155426410,inf,0,0,0,0
156435495,inf,0,0,0,0
157445402,inf,0,0,0,0
158448427,inf,0,0,0,0
159458399,inf,0,0,0,0
160468409,inf,0,0,0,0
161480399,inf,0,0,0,0
162492237,inf,0,0,0,0
163501959,inf,0,0,0,0
164511421,inf,0,0,0,0
165521398,inf,0,0,0,0
166530399,inf,0,0,0,0
167541786,inf,0,0,0,0
168550629,inf,0,0,0,0
169560411,inf,0,0,0,0
170570401,inf,0,0,0,0
171580398,inf,0,0,0,0
172591422,inf,0,0,0,0
173600410,inf,0,0,0,0
174610673,inf,0,0,0,0
175621133,inf,0,0,0,0
176629497,inf,0,0,0,0
177640399,inf,0,0,0,0
178649514,inf,0,0,0,0
179658412,inf,0,0,0,0
180667426,inf,0,0,0,0
181676399,inf,0,0,0,0
182684399,inf,0,0,0,0
183693486,inf,0,0,0,0
184701814,inf,0,0,0,0
185710399,inf,0,0,0,0
186716412,inf,0,0,0,0
187725506,inf,0,0,0,0
188735565,inf,0,0,0,0
189745547,inf,0,0,0,0
190755418,inf,0,0,0,0
191765489,inf,0,0,0,0
192768410,inf,0,0,0,0
193779423,inf,0,0,0,0
194790411,inf,0,0,0,0
195797496,inf,0,0,0,0
196805404,inf,0,0,0,0
197815585,inf,0,0,0,0
198820751,inf,0,0,0,0
199827418,inf,0,0,0,0
200836412,inf,0,0,0,0
201846667,inf,0,0,0,0
202856402,inf,0,0,0,0
203865504,inf,0,0,0,0
204877485,inf,0,0,0,0
205886399,inf,0,0,0,0
206893536,inf,0,0,0,0
207902399,inf,0,0,0,0
208910413,inf,0,0,0,0
209917399,inf,0,0,0,0
210927411,inf,0,0,0,0
211937529,inf,0,0,0,0
212946413,inf,0,0,0,0
213954590,inf,0,0,0,0
214961488,inf,0,0,0,0
215970399,inf,0,0,0,0
216981499,inf,0,0,0,0
217993543,inf,0,0,0,0
219002399,inf,0,0,0,0
221014399,inf,0,0,0,0
222022414,inf,0,0,0,0
223032399,inf,0,0,0,0
224041399,inf,0,0,0,0
225050399,inf,0,0,0,0
226059154,inf,0,0,0,0
227067464,inf,0,0,0,0
228073399,inf,0,0,0,0
229084399,inf,0,0,0,0
230092410,inf,0,0,0,0
231102399,inf,0,0,0,0
232111400,inf,0,0,0,0
233120399,inf,0,0,0,0
234131478,inf,0,0,0,0
235140399,inf,0,0,0,0
236148399,inf,0,0,0,0
237156403,inf,0,0,0,0
238164409,inf,0,0,0,0
239172401,inf,0,0,0,0
240180984,inf,0,0,0,0
241190644,inf,0,0,0,0
242201498,inf,0,0,0,0
243213399,inf,0,0,0,0
244221486,inf,0,0,0,0
245227411,inf,0,0,0,0
246238399,inf,0,0,0,0
247249399,inf,0,0,0,0
248262429,inf,0,0,0,0
249271409,inf,0,0,0,0
250278422,inf,0,0,0,0
251287480,inf,0,0,0,0
252296399,inf,0,0,0,0
253307552,inf,0,0,0,0
254317398,inf,0,0,0,0
255325484,inf,0,0,0,0
256332410,inf,0,0,0,0
257343399,inf,0,0,0,0
258353503,inf,0,0,0,0
259361464,inf,0,0,0,0
260369010,inf,0,0,0,0
261376399,inf,0,0,0,0
262386399,inf,0,0,0,0
263395446,inf,0,0,0,0
264404442,inf,0,0,0,0
265413398,inf,0,0,0,0
266420410,inf,0,0,0,0
267430663,inf,0,0,0,0
268442413,inf,0,0,0,0
269451417,inf,0,0,0,0
270455399,inf,0,0,0,0
271457527,inf,0,0,0,0
272464399,inf,0,0,0,0
273472411,inf,0,0,0,0
274483724,inf,0,0,0,0
275492410,inf,0,0,0,0
276501398,inf,0,0,0,0
277511455,inf,0,0,0,0
278520410,inf,0,0,0,0
279528448,inf,0,0,0,0
280536411,inf,0,0,0,0
281541481,inf,0,0,0,0
282550553,inf,0,0,0,0
283560399,inf,0,0,0,0
