timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
38626982,0,-0.09754993,-0.059872527,0.00031584897,0.0,0.0,0.0,0.0,0.0
38759471,0,-0.09754156,-0.05991772,0.00016196749,0.0,0.0,0.0,0.0,0.0
38862310,0,-0.09743593,-0.05994642,0.00024706774,0.0,0.0,0.0,0.0,0.0
38961090,0,-0.09745345,-0.059962366,0.00037846144,0.0,0.0,0.0,0.0,0.0
39065968,0,-0.09742177,-0.060099453,0.00035409266,0.0,0.0,0.0,0.0,0.0
39167930,0,-0.09741616,-0.060085643,0.00039176975,0.0,0.0,0.0,0.0,0.0
39266740,0,-0.09756901,-0.06015799,0.00020032086,0.0,0.0,0.0,0.0,0.0
39371519,0,-0.09742976,-0.060162246,6.751746e-05,0.0,0.0,0.0,0.0,0.0
39468257,0,-0.09746786,-0.06026713,-0.00013488597,0.0,0.0,0.0,0.0,0.0
39573298,0,-0.09746049,-0.060275987,-0.0003596265,0.0,0.0,0.0,0.0,0.0
39674436,0,-0.09738237,-0.06037794,-0.0005959249,0.0,0.0,0.0,0.0,0.0
39778130,0,-0.09740576,-0.06019758,-0.0007142537,0.0,0.0,0.0,0.0,0.0
39878700,0,-0.09740349,-0.06031402,-0.00066849263,0.0,0.0,0.0,0.0,0.0
39975621,0,-0.09750271,-0.060313545,-0.0007046696,0.0,0.0,0.0,0.0,0.0
40081293,0,-0.097434305,-0.060284566,-0.00056999025,0.0,0.0,0.0,0.0,0.0
40182176,0,-0.097465664,-0.06039569,-0.0003681049,0.0,0.0,0.0,0.0,0.0
40281892,0,-0.09734465,-0.06038067,-6.964026e-05,0.0,0.0,0.0,0.0,0.0
40386831,0,-0.09733046,-0.060298968,0.00017782871,0.0,0.0,0.0,0.0,0.0
40484283,0,-0.097301655,-0.06038414,0.00022700614,0.0,0.0,0.0,0.0,0.0
40589963,0,-0.09732357,-0.060528092,0.00040835168,0.0,0.0,0.0,0.0,0.0
40690124,0,-0.09736284,-0.060413513,0.0004028753,0.0,0.0,0.0,0.0,0.0
40791760,0,-0.09741824,-0.060550373,0.00054293993,0.0,0.0,0.0,0.0,0.0
40893049,0,-0.097369455,-0.060524512,0.00090129086,0.0,0.0,0.0,0.0,0.0
40993243,0,-0.09735415,-0.06057265,0.0011185836,0.0,0.0,0.0,0.0,0.0
41095674,0,-0.097204916,-0.0606746,0.001262487,0.0,0.0,0.0,0.0,0.0
41195519,0,-0.097289264,-0.06055915,0.0014295813,0.0,0.0,0.0,0.0,0.0
41297336,0,-0.09715943,-0.06062757,0.0014514679,0.022682445,0.0,0.0,0.0,0.0
41401353,0,-0.097255625,-0.065695085,-0.0022360669,0.030571992,0.0,0.0,0.0,0.0
41501906,0,-0.09626887,-0.057647593,0.0051512048,0.055226825,0.0,0.0,0.0,0.0
41604021,0,-0.096328676,-0.05893779,0.0009602677,0.06508876,0.0,0.0,0.0,0.0
41702887,0,-0.09928492,-0.059479263,0.0006688323,0.06706114,0.0,0.0,0.0,0.0
41804289,0,-0.09697292,-0.05787932,0.0010605865,0.06804734,0.0,0.0,0.0,0.0
41908277,0,-0.09574574,-0.056093633,0.001839892,0.06903353,0.0,0.0,0.0,0.0
42010700,0,-0.104832664,-0.05512775,0.0016025447,0.07001972,0.0,0.0,0.0,0.0
42109167,0,-0.09168367,-0.054601144,0.0012551711,0.07199211,0.0,0.0,0.0,0.0
42213888,0,-0.095368624,-0.058328334,0.0010749203,0.07199211,0.0,0.0,0.0,0.0
42315498,0,-0.10019964,-0.05598052,0.0015875987,0.07199211,0.0,0.0,0.0,0.0
42414772,0,-0.09103619,-0.055903256,0.003095565,0.07199211,0.0,0.0,0.0,0.0
42516465,0,-0.09627153,-0.05957296,0.0029556123,0.07199211,0.0,0.0,0.0,0.0
42618150,0,-0.10257207,-0.056320496,0.003209546,0.09861933,0.0,0.0,0.0,0.0
42721356,0,-0.100099765,-0.05815795,0.003348939,0.09861933,0.0,0.0,0.0,0.0
42821907,0,-0.09768069,-0.05560107,0.004365024,0.09960552,0.0,0.0,0.0,0.0
42922754,0,-0.099756494,-0.053777203,0.004113664,0.09960552,0.0,0.0,0.0,0.0
43022788,0,-0.10294349,-0.06134584,0.0033750166,0.09960552,0.0,0.0,0.0,0.0
43131473,0,-0.0951146,-0.054385934,0.0023620455,0.09960552,0.0,0.0,0.0,0.0
43231687,0,-0.09687386,-0.057257775,0.006565112,0.1183432,0.0,0.0,0.0,0.0
43333899,0,-0.1053068,-0.06288106,-0.00021621339,0.12820514,0.0,0.0,0.0,0.0
43433100,0,-0.108199835,-0.04944025,0.0030585148,0.13017751,0.0,0.0,0.0,0.0
43533962,0,-0.10008101,-0.052333873,0.00568822,0.1311637,0.0,0.0,0.0,0.0
43637889,0,-0.10287997,-0.0652556,-0.00061917584,0.1311637,0.0,0.0,0.0,0.0
43738961,0,-0.09446122,-0.05269205,0.005887478,0.1331361,0.0,0.0,0.0,0.0
43839544,0,-0.10418203,-0.0453444,0.014265069,0.1331361,0.0,0.0,0.0,0.0
43940402,0,-0.10586597,-0.05485781,0.0006990764,0.1331361,0.0,0.0,0.0,0.0
44041110,0,-0.10287642,-0.03866093,0.0113666495,0.1331361,0.0,0.0,0.0,0.0
44145978,0,-0.10457654,-0.072978884,-0.00014039325,0.1331361,0.0,0.0,0.0,0.0
44249887,0,-0.103276744,-0.039357815,0.015108811,0.1331361,0.0,0.0,0.0,0.0
44350661,0,-0.10114799,-0.0630076,-0.00023377802,0.1331361,0.0,0.0,0.0,0.0
44451579,0,-0.09847114,-0.043470543,0.011966924,0.1331361,0.0,0.0,0.0,0.0
44552302,0,-0.101000115,-0.050468497,0.0045362916,0.1331361,0.0,0.0,0.0,0.0
44657133,0,-0.10978952,-0.035303358,0.017806735,0.1331361,0.0,0.0,0.0,0.0
44758673,0,-0.09476109,-0.06392267,-0.0015369776,0.15779093,0.0,0.0,0.0,0.0
44857987,0,-0.119540505,-0.0478661,0.01873656,0.1765286,0.0,0.0,0.0,0.0
44961905,0,-0.100555345,-0.056167115,0.012364572,0.20414202,0.0,0.0,0.0,0.0
45062695,0,-0.08693376,-0.03348965,0.007160058,0.22386588,0.0,0.0,0.0,0.0
45164314,0,-0.047262043,-0.0036164778,0.005626391,0.23570019,0.0,0.0,0.0,0.0
45263716,0,-0.14979441,-0.060814213,0.011207716,0.2623274,0.0,0.0,0.0,0.0
45366468,0,-0.074074246,-0.021509565,0.0047264616,0.26331362,0.0,0.0,0.0,0.0
45468542,0,-0.12100355,-0.05853513,0.008160369,0.26331362,0.0,0.0,0.0,0.0
45569037,0,-0.110615045,-0.040969986,0.0076476764,0.26331362,0.0,0.0,0.0,0.0
45669519,0,-0.09472241,-0.05031108,0.004745113,0.26331362,0.0,0.0,0.0,0.0
45769914,0,-0.10517192,-0.06074279,0.008985576,0.27218935,0.0,0.0,0.0,0.0
45873887,0,-0.09701027,-0.0758238,0.0065962197,0.27317554,0.0,0.0,0.0,0.0
45974694,0,-0.075646505,-0.012496855,0.009318026,0.2820513,0.0,0.0,0.0,0.0
46076305,0,-0.116540805,-0.052486185,0.010121734,0.2919132,0.0,0.0,0.0,0.0
46178021,0,-0.088526174,-0.03949976,0.0055065826,0.2928994,0.0,0.0,0.0,0.0
46277174,0,-0.10633819,-0.046146452,0.012667233,0.2938856,0.0,0.0,0.0,0.0
46381116,0,-0.118449,-0.05927041,0.011764542,0.30276135,0.0,0.0,0.0,0.0
46483473,0,-0.14745308,-0.0761468,0.01477386,0.32051283,0.0,0.0,0.0,0.0
46582954,0,-0.11648507,-0.08039836,0.009973801,0.3244576,0.0,0.0,0.0,0.0
46686689,0,-0.09676444,0.018851386,0.019497378,0.32544377,0.0,0.0,0.0,0.0
46788505,0,-0.11516793,-0.053653948,0.013905741,0.32741618,0.0,0.0,0.0,0.0
46889101,0,-0.048656523,-0.03374245,0.012536179,0.3372781,0.0,0.0,0.0,0.0
46989322,0,-0.12890755,-0.08016394,0.01660633,0.35601577,0.0,0.0,0.0,0.0
47089964,0,-0.12650374,-0.05449429,0.018857457,0.36291912,0.0,0.0,0.0,0.0
47193871,0,-0.04307443,-0.07458116,0.018408848,0.3639053,0.0,0.0,0.0,0.0
47294721,0,-0.025537962,-0.013614459,0.025480855,0.3639053,0.0,0.0,0.0,0.0
47390721,0,-0.0511546,-0.07625696,0.027557876,0.37376726,0.0,0.0,0.0,0.0
47491593,0,-0.12641841,-0.00020368886,0.027464036,0.39250493,0.0,0.0,0.0,0.0
47596250,0,-0.08228739,0.010263852,0.025167475,0.3944773,0.0,0.0,0.0,0.0
47697934,0,-0.0679468,-0.04522348,0.026766108,0.3944773,0.0,0.0,0.0,0.0
47797513,0,-0.07427025,-0.0369403,0.027704598,0.3964497,0.0,0.0,0.0,0.0
47901109,0,-0.060521252,-0.031334434,0.02571074,0.3964497,0.0,0.0,0.0,0.0
48002654,0,-0.086805545,-0.043228842,0.02256655,0.3974359,0.0,0.0,0.0,0.0
48102016,0,-0.08330373,-0.08825156,0.014041489,0.39940828,0.0,0.0,0.0,0.0
48203605,0,-0.0818206,-0.055074565,0.022773659,0.42406312,0.0,0.0,0.0,0.0
48302788,0,-0.07605942,-0.027228327,0.0266312,0.42702168,0.0,0.0,0.0,0.0
48407491,0,-0.08037334,-0.055053867,0.025656616,0.42702168,0.0,0.0,0.0,0.0
48505124,0,-0.052665338,0.0015105688,0.045185804,0.42702168,0.0,0.0,0.0,0.0
48609343,0,-0.06867449,-0.069620736,0.042728934,0.4280079,0.0,0.0,0.0,0.0
48713904,0,-0.05600358,0.0032427595,0.04300846,0.44477317,0.0,0.0,0.0,0.0
48809900,0,-0.098428994,0.023898533,0.045581397,0.4566075,0.0,0.0,0.0,0.0
48914934,0,-0.08515119,-0.031465884,0.04222087,0.45857987,0.0,0.0,0.0,0.0
49015628,0,-0.025465898,-0.0567248,0.026037883,0.45857987,0.0,0.0,0.0,0.0
49119726,0,-0.17580067,0.0060665915,0.031090954,0.4595661,0.0,0.0,0.0,0.0
49216300,0,-0.03901802,-0.009711573,0.07649898,0.4595661,0.0,0.0,0.0,0.0
49320289,0,-0.1393863,0.119828194,0.041975692,0.4595661,0.0,0.0,0.0,0.0
49422847,0,-0.15608916,-0.018614918,0.042285293,0.4595661,0.0,0.0,0.0,0.0
49525866,0,-0.08441045,-0.074332364,0.040323276,0.4595661,0.0,0.0,0.0,0.0
49626161,0,-0.047155686,0.027501857,0.025485089,0.4595661,0.0,0.0,0.0,0.0
49726688,0,-0.1339159,0.101089455,0.039828975,0.4595661,0.0,0.0,0.0,0.0
49826927,0,-0.10577748,-0.036721636,0.048362896,0.4595661,0.0,0.0,0.0,0.0
49931767,0,-0.052064676,-0.02383152,0.028084876,0.4595661,0.0,0.0,0.0,0.0
50031488,0,-0.18029614,0.034791183,0.035442587,0.4595661,0.0,0.0,0.0,0.0
50132572,0,-0.022752244,0.0050600693,0.04698825,0.47140038,0.0,0.0,0.0,0.0
50232284,0,-0.07388427,-0.10972635,0.0063607646,0.4733728,0.0,0.0,0.0,0.0
50337091,0,-0.15848441,-0.12232019,-0.0016059857,0.47534516,0.0,0.0,0.0,0.0
50439122,0,-0.149765,-0.037504017,0.038906626,0.47633135,0.0,0.0,0.0,0.0
50538321,0,-0.0463195,0.045530096,0.01595393,0.47633135,0.0,0.0,0.0,0.0
50638709,0,-0.110279165,-0.012008587,0.022589512,0.47633135,0.0,0.0,0.0,0.0
50742668,0,-0.112372234,-0.03908427,0.024750013,0.47633135,0.0,0.0,0.0,0.0
50843753,0,0.029140836,-0.1749295,0.024323853,0.47633135,0.0,0.0,0.0,0.0
50943974,0,-0.08646351,-0.029169466,0.0004901134,0.47633135,0.0,0.0,0.0,0.0
51045260,0,-0.1165997,-0.15815906,0.116194576,0.47633135,0.0,0.0,0.0,0.0
51149215,0,-0.24716827,-0.19419488,0.045395747,0.47633135,0.0,0.0,0.0,0.0
51250161,0,-0.22564408,-0.064350374,0.0430902,0.47633135,0.0,0.0,0.0,0.0
51350708,0,0.0014269169,-0.022151962,0.03714295,0.47633135,0.0,0.0,0.0,0.0
51451653,0,-0.17210999,0.07286689,0.043125954,0.47633135,0.0,0.0,0.0,0.0
51553945,0,-0.11537472,-0.11290358,0.04707734,0.47633135,0.0,0.0,0.0,0.0
51653110,0,-0.094529,-0.07220051,0.02728258,0.47633135,0.0,0.0,0.0,0.0
