timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
38654957,5.1868653,0.0,0,0,1,0,1,0,0
39154957,5.231982,0.0,0,0,1,0,1,0,0
39654957,5.20459,0.0,0,0,1,0,1,0,0
40154957,5.2497067,0.0,0,0,1,0,1,0,0
40654957,5.190088,0.0,0,0,1,0,1,0,0
41154957,5.2480955,0.0,0,0,1,0,1,0,0
41664960,5.231982,0.0,0,0,1,0,1,0,0
42164966,5.201367,0.0,0,0,1,0,1,0,0
42664960,5.230371,0.0,0,0,1,0,1,0,0
43164960,5.201367,0.0,0,0,1,0,1,0,0
43664960,5.2497067,0.0,0,0,1,0,1,0,0
44164967,5.2094235,0.0,0,0,1,0,1,0,0
44664990,5.2497067,0.0,0,0,1,0,1,0,0
45164960,5.2497067,0.0,0,0,1,0,1,0,0
45664990,5.2368164,0.0,0,0,1,0,1,0,0
46164960,5.243262,0.0,0,0,1,0,1,0,0
46664965,5.196533,0.0,0,0,1,0,1,0,0
47164960,5.215869,0.0,0,0,1,0,1,0,0
47664966,5.206201,0.0,0,0,1,0,1,0,0
48174957,5.2384276,0.0,0,0,1,0,1,0,0
48674957,5.240039,0.0,0,0,1,0,1,0,0
49174957,5.24165,0.0,0,0,1,0,1,0,0
49674957,5.2384276,0.0,0,0,1,0,1,0,0
50174957,5.196533,0.0,0,0,1,0,1,0,0
50674957,5.240039,0.0,0,0,1,0,1,0,0
51174957,5.196533,0.0,0,0,1,0,1,0,0
51674957,5.2384276,0.0,0,0,1,0,1,0,0
52174957,5.206201,0.0,0,0,1,0,1,0,0
52674957,5.2239256,0.0,0,0,1,0,1,0,0
53174957,5.2271485,0.0,0,0,1,0,1,0,0
53674957,5.24165,0.0,0,0,1,0,1,0,0
54174957,5.244873,0.0,0,0,1,0,1,0,0
54684960,5.20459,0.0,0,0,1,0,1,0,0
55184990,5.2497067,0.0,0,0,1,0,1,0,0
55684960,5.1788087,0.0,0,0,1,0,1,0,0
56184962,5.244873,0.0,0,0,1,0,1,0,0
56684960,5.231982,0.0,0,0,1,0,1,0,0
57184960,5.244873,0.0,0,0,1,0,1,0,0
57684968,5.2513185,0.0,0,0,1,0,1,0,0
58184960,5.1997557,0.0,0,0,1,0,1,0,0
58684967,5.2497067,0.0,0,0,1,0,1,0,0
59184967,5.1884766,0.0,0,0,1,0,1,0,0
59684960,5.231982,0.0,0,0,1,0,1,0,0
60184960,5.190088,0.0,0,0,1,0,1,0,0
60684960,5.230371,0.0,0,0,1,0,1,0,0
61194957,5.2513185,0.0,0,0,1,0,1,0,0
61694957,5.2029786,0.0,0,0,1,0,1,0,0
62194957,5.2368164,0.0,0,0,1,0,1,0,0
62694957,5.201367,0.0,0,0,1,0,1,0,0
63194957,5.2480955,0.0,0,0,1,0,1,0,0
63694957,5.2029786,0.0,0,0,1,0,1,0,0
64194957,5.2497067,0.0,0,0,1,0,1,0,0
64694957,5.2513185,0.0,0,0,1,0,1,0,0
65194957,5.230371,0.0,0,0,1,0,1,0,0
65694960,5.243262,0.0,0,0,1,0,1,0,0
66204967,5.1868653,0.0,0,0,1,0,1,0,0
66704966,5.231982,0.0,0,0,1,0,1,0,0
67204966,5.20459,0.0,0,0,1,0,1,0,0
67704960,5.2480955,0.0,0,0,1,0,1,0,0
68204960,5.2480955,0.0,0,0,1,0,1,0,0
68704962,5.244873,0.0,0,0,1,0,1,0,0
69204966,5.2497067,0.0,0,0,1,0,1,0,0
69704967,5.1868653,0.0,0,0,1,0,1,0,0
70204967,5.244873,0.0,0,0,1,0,1,0,0
