timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure,failure_detector_status
38451770,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
39457605,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
40460543,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
41464441,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
42474598,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
43475922,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
44486433,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
45488498,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
46494572,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
47498616,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
48505593,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
49506449,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
50510569,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
51513619,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
52526423,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
53536494,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
54544443,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
55545534,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
56554406,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
57564500,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
58571673,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
59580442,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
60587568,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
61597783,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
62608447,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
63609503,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
64618896,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
65627697,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
66637525,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
67646448,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
68655473,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
69658478,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
70664499,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
71669514,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
72675474,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
73678453,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
74688448,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
75695622,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
76698772,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
77705492,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
78707958,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
79715521,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
80722445,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
81724477,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
83736548,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
84741569,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
85750838,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
86753588,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
87759932,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
88762477,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
89771373,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
90781630,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
