timestamp,load,ram_usage
38382569,0.354415,0.75028753
39385312,0.451756,0.79405993
40387213,0.399828,0.79405993
41388360,0.392057,0.79230094
42389360,0.3951,0.79230094
43390418,0.400456,0.791692
44391421,0.399367,0.79419523
45392967,0.395241,0.79419523
46393360,0.394507,0.79419523
47397607,0.395267,0.79419523
48398360,0.391057,0.79419523
49398939,0.395748,0.79243624
50399623,0.39846,0.79243624
51400360,0.398858,0.7918273
52401553,0.398059,0.79419523
53402360,0.399039,0.79419523
54403498,0.38941202,0.79419523
55404550,0.351991,0.79419523
56405943,0.35423002,0.79243624
57406944,0.35752,0.79243624
58407739,0.358319,0.79243624
59408360,0.357359,0.7918273
60409610,0.355205,0.79419523
61410643,0.351638,0.79419523
62411541,0.346509,0.79419523
63412409,0.355803,0.79419523
64413383,0.351938,0.79243624
65415376,0.355239,0.79243624
66416360,0.359907,0.79243624
67417507,0.358748,0.79419523
68418484,0.352921,0.79419523
69419554,0.349724,0.79419523
70420570,0.356609,0.79419523
71423461,0.355786,0.79419523
72424360,0.35844702,0.79243624
73425549,0.357167,0.79243624
74426376,0.357251,0.79243624
75427428,0.352193,0.79419523
76428360,0.346827,0.79419523
77429556,0.354913,0.79419523
78431150,0.354568,0.79419523
79432546,0.355566,0.79419523
80433571,0.358461,0.79243624
81434561,0.355964,0.79243624
83436418,0.341028,0.79419523
84437360,0.354974,0.79419523
85438360,0.358836,0.79419523
86439360,0.355383,0.79419523
87440491,0.356209,0.79243624
88441512,0.359835,0.79243624
89442836,0.351303,0.79243624
90443379,0.352809,0.7918273
91444496,0.35541502,0.79419523
92445382,0.3534,0.79419523
93446564,0.353877,0.79419523
94447372,0.35968,0.79419523
95448446,0.356056,0.79243624
96449776,0.349285,0.79243624
97450360,0.35310102,0.79243624
98451428,0.356945,0.79419523
99452856,0.356782,0.79419523
100454101,0.360378,0.79419523
101455458,0.356083,0.79419523
102457003,0.356128,0.79419523
103457489,0.349838,0.79243624
