timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
38658414,0,0.0,0.0,0.0,0.0,-0.056824215,-3.707532e-05,6.1595165e-05,0.0,-0.004996822,0.0078959735,-0.0046499297,-0.049106687,-0.00926883,0.015398791,0.0,-0.005099861,-0.015962856,-0.0030929854,0.052349057,0.0,0.1,0.0046499297,0.12139625,0.24303976,0.10010942,0.10173677,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
38763227,0,0.0,0.0,0.0,0.0,-0.06451092,-3.707532e-05,6.1595165e-05,0.0,-0.0052440823,0.00747453,-0.0065892404,-0.052806072,-0.00926883,0.015398791,0.0,0.004167805,0.0010891547,0.02831169,0.05214222,0.0,0.1,0.0065892404,0.12083055,0.24253441,0.09989068,0.1016705,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
38860812,0,0.0,0.0,0.0,0.0,-0.06758684,-3.707532e-05,6.1595165e-05,0.0,-0.005418647,0.007102509,-0.0069670076,-0.050471667,-0.00926883,0.015398791,0.0,-0.004418073,-0.009620128,-0.0013486182,0.05217811,0.0,0.10840204,0.0069670076,0.11961809,0.2413469,0.099333495,0.10142746,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
38964815,0,0.0,0.0,0.0,0.0,-0.06855814,-3.707532e-05,6.1595165e-05,0.0,-0.0060731126,0.0068075354,-0.0067649987,-0.04549541,-0.00926883,0.015398791,0.0,-0.009784225,-0.005335921,0.005586941,0.05240579,0.0,0.10366137,0.0067649987,0.120674536,0.24248843,0.09989471,0.10179509,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
39061656,0,0.0,0.0,0.0,0.0,-0.07103586,-3.707532e-05,6.1595165e-05,0.0,-0.0060587,0.0068120514,-0.007263825,-0.04359402,-0.00926883,0.015398791,0.0,-0.00033999645,-0.004526364,0.008434925,0.052420843,0.0,0.10524608,0.007263825,0.119544245,0.24136928,0.099380046,0.101561114,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
39165606,0,0.0,0.0,0.0,0.0,-0.07424313,-3.707532e-05,6.1595165e-05,0.0,-0.0066636065,0.0066518183,-0.008130659,-0.04272145,-0.00926883,0.015398791,0.0,-0.00614376,0.008023017,-0.014019087,0.052500166,0.0,0.1,0.008130659,0.11897079,0.24079561,0.09912515,0.101493806,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
39270427,0,0.0,0.0,0.0,0.0,-0.08074898,-3.707532e-05,6.1595165e-05,0.0,-0.007004238,0.006345016,-0.010113654,-0.04627306,-0.00926883,0.015398791,0.0,0.0027862536,0.01008842,-0.016451877,0.052250657,0.0,0.1,0.010113654,0.11854357,0.24032901,0.09897778,0.101454176,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
39367201,0,0.0,0.0,0.0,0.0,-0.088261254,-3.707532e-05,6.1595165e-05,0.0,-0.0070658675,0.005886377,-0.012377138,-0.051082287,-0.00926883,0.015398791,0.0,0.014511694,0.0050890134,-0.02141955,0.051983733,0.0,0.1,0.012377138,0.119251885,0.24101487,0.09940852,0.10170844,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
39472030,0,0.0,0.0,0.0,0.0,-0.098366395,-3.707532e-05,6.1595165e-05,0.0,-0.0072515886,0.0059587127,-0.015384378,-0.05811253,-0.00926883,0.015398791,0.0,-0.017335182,-0.0024413657,-0.008728418,0.051646132,0.0,0.1,0.015384378,0.118814,0.2405234,0.09923752,0.10167445,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
39568852,0,0.0,0.0,0.0,0.0,-0.10654292,-3.707532e-05,6.1595165e-05,0.0,-0.0076115243,0.005833654,-0.018139863,-0.062760346,-0.00926883,0.015398791,0.0,-0.0008782317,0.003858587,-0.0017446744,0.051347893,0.0,0.1,0.018139863,0.11947109,0.24119239,0.09960416,0.101919904,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
39673651,0,0.0,0.0,0.0,0.0,-0.11991049,-3.707532e-05,6.1595165e-05,0.0,-0.008021288,0.005419463,-0.021939779,-0.072343,-0.00926883,0.015398791,0.0,4.6567307e-05,0.01083124,0.015536656,0.05098512,0.0,0.1,0.021939779,0.11917393,0.24084409,0.099516936,0.101905614,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
39777598,0,0.0,0.0,0.0,0.0,-0.12978005,-3.707532e-05,6.1595165e-05,0.0,-0.008226008,0.005302937,-0.025536343,-0.07730877,-0.00926883,0.015398791,0.0,-0.0047052926,-0.004034162,-0.010795022,0.05069045,0.0,0.1,0.025536343,0.11880031,0.24040423,0.099367246,0.10188898,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
39874477,0,0.0,0.0,0.0,0.0,-0.1369168,-3.707532e-05,6.1595165e-05,0.0,-0.008232524,0.005354706,-0.027693873,-0.07836525,-0.00926883,0.015398791,0.0,0.001558797,-0.0017057924,-0.012315643,0.050676323,0.0,0.10655285,0.027693873,0.117924176,0.23943107,0.098961666,0.10171709,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
39980020,0,0.0,0.0,0.0,0.0,-0.1435903,-3.707532e-05,6.1595165e-05,0.0,-0.008102706,0.004892714,-0.029147195,-0.077605836,-0.00926883,0.015398791,0.0,0.00020292138,0.005161575,0.023601133,0.050695453,0.0,0.10167942,0.029147195,0.11765203,0.2390643,0.098868765,0.1017214,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
40076873,0,0.0,0.0,0.0,0.0,-0.14914076,-3.707532e-05,6.1595165e-05,0.0,-0.008041495,0.0045699636,-0.030745631,-0.076645896,-0.00926883,0.015398791,0.0,-0.017044276,0.017658323,0.0075126532,0.050837725,0.0,0.11018916,0.030745631,0.1185572,0.23992954,0.099380605,0.10201655,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
40181632,0,0.0,0.0,0.0,0.0,-0.15270755,-3.707532e-05,6.1595165e-05,0.0,-0.008166393,0.004388962,-0.030861847,-0.071900085,-0.00926883,0.015398791,0.0,0.0068697627,-0.013404786,0.012796635,0.051104058,0.0,0.11242596,0.030861847,0.11840407,0.23967615,0.09934594,0.1020387,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
40285623,0,0.0,0.0,0.0,0.0,-0.15476806,-3.707532e-05,6.1595165e-05,0.0,-0.008648232,0.003732763,-0.03064249,-0.06591511,-0.00926883,0.015398791,0.0,-0.0053380704,0.008709913,-0.0072261947,0.051585153,0.0,0.12059455,0.03064249,0.118259445,0.2394386,0.099305205,0.10205935,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
40382425,0,0.0,0.0,0.0,0.0,-0.15670197,-3.707532e-05,6.1595165e-05,0.0,-0.0089567285,0.0033196947,-0.030710105,-0.061423298,-0.00926883,0.015398791,0.0,-0.0065350444,-0.0070469943,-0.021926189,0.05197996,0.0,0.112212725,0.030710105,0.11751897,0.23858902,0.098944105,0.10191355,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
40488024,0,0.0,0.0,0.0,0.0,-0.16022131,-3.707532e-05,6.1595165e-05,0.0,-0.008839863,0.002933713,-0.03138076,-0.05905044,-0.00926883,0.015398791,0.0,0.011518163,0.010061444,-0.016307522,0.05217177,0.0,0.112236,0.03138076,0.11740106,0.23839292,0.09888977,0.10194457,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
