timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,type,system_id,component_id,mode,flow_control,forwarding,mavlink_v2,ftp,streams
38504476,37494486,1000.0,0.28692847,0.020795722,0.8694593,0.07823153,0,255,0,3,0,0,1,0,17
39510422,38504476,1000.0,0.28692847,0.020908607,0.9797176,0.0,0,255,0,3,0,0,1,0,17
40513280,39510422,1000.0,0.28692847,0.020943347,0.758947,0.0,0,255,0,3,0,0,1,0,17
41516220,40513280,1000.0,0.28692847,0.020754453,0.9942371,0.076099664,0,255,0,3,0,0,1,0,17
42518583,41516220,1000.0,0.28692847,0.020908108,0.7248144,0.0,0,255,0,3,0,0,1,0,17
43524018,41516220,1000.0,0.28692847,0.020968964,0.79981625,0.0,0,255,0,3,0,0,1,0,17
44526420,43524018,1000.0,0.28692847,0.019857127,0.8975421,0.0,0,255,0,3,0,0,1,0,17
45529589,43524018,1000.0,0.28692847,0.02199362,0.81076485,0.07897709,0,255,0,3,0,0,1,0,17
46532372,45529589,1000.0,0.28692847,0.020943556,0.8915971,0.0,0,255,0,3,0,0,1,0,17
47533498,46532372,1000.0,0.28692847,0.020902967,0.697761,0.0,0,255,0,3,0,0,1,0,17
48538888,47533498,1000.0,0.28692847,0.020972671,1.0775958,0.055927124,0,255,0,3,0,0,1,0,17
49542488,48538888,1000.0,0.28692847,0.02091629,0.6982057,0.0,0,255,0,3,0,0,1,0,17
50550012,49542488,1000.0,0.28692847,0.020916376,0.6982085,0.0,0,255,0,3,0,0,1,0,17
51561230,50550012,1000.0,0.28692847,0.020859117,0.8880024,0.0,0,255,0,3,0,0,1,0,17
52561651,51561230,1000.0,0.28692847,0.020785842,0.8027294,0.07819436,0,255,0,3,0,0,1,0,17
53562954,52561651,1000.0,0.28692847,0.020917522,0.96320206,0.0,0,255,0,3,0,0,1,0,17
54572449,53562954,1000.0,0.28692847,0.020799594,0.69431025,0.0,0,255,0,3,0,0,1,0,17
55580472,54572449,1000.0,0.28692847,0.020805158,0.99567544,0.07628558,0,255,0,3,0,0,1,0,17
56582598,55580472,1000.0,0.28692847,0.020821001,0.69304186,0.0,0,255,0,3,0,0,1,0,17
57592013,56582598,1000.0,0.28692847,0.020970304,0.9616383,0.0,0,255,0,3,0,0,1,0,17
58600446,57592013,1000.0,0.28692847,0.020812953,0.692774,0.0,0,255,0,3,0,0,1,0,17
59608420,58600446,1000.0,0.28692847,0.020806003,0.80152655,0.078270204,0,255,0,3,0,0,1,0,17
60611122,59608420,1000.0,0.28692847,0.020839969,0.88718724,0.0,0,255,0,3,0,0,1,0,17
61617676,60611122,1000.0,0.28692847,0.020954486,0.7264222,0.0,0,255,0,3,0,0,1,0,17
62621547,61617676,1000.0,0.28692847,0.020847665,1.0940061,0.07842693,0,255,0,3,0,0,1,0,17
63625780,62621547,1000.0,0.28692847,0.020925859,0.6965322,0.0,0,255,0,3,0,0,1,0,17
64629841,63625780,1000.0,0.28692847,0.020884922,0.88910097,0.0,0,255,0,3,0,0,1,0,17
65632115,64629841,1000.0,0.28692847,0.020918291,0.72516745,0.0,0,255,0,3,0,0,1,0,17
66639436,65632115,1000.0,0.28692847,0.020988224,1.003437,0.0789557,0,255,0,3,0,0,1,0,17
67648571,66639436,1000.0,0.28692847,0.020832196,0.7906314,0.0,0,255,0,3,0,0,1,0,17
68652528,67648571,1000.0,0.28692847,0.02081386,0.7502901,0.0,0,255,0,3,0,0,1,0,17
69658650,68652528,1000.0,0.28692847,0.020886356,1.0274098,0.079567075,0,255,0,3,0,0,1,0,17
70662000,69658650,1000.0,0.28692847,0.020902218,0.6957453,0.0,0,255,0,3,0,0,1,0,17
71662094,70662000,1000.0,0.28692847,0.020938253,0.8913713,0.0,0,255,0,3,0,0,1,0,17
72664731,71662094,1000.0,0.28692847,0.020989504,0.69865066,0.0,0,255,0,3,0,0,1,0,17
73673544,72664731,1000.0,0.28692847,0.02091598,1.070699,0.07967992,0,255,0,3,0,0,1,0,17
74676422,73673544,1000.0,0.28692847,0.020822983,0.72384655,0.0,0,255,0,3,0,0,1,0,17
75686420,74676422,1000.0,0.28692847,0.020959882,0.8922921,0.0,0,255,0,3,0,0,1,0,17
76686653,75686420,1000.0,0.28692847,0.02079181,0.8049401,0.07722672,0,255,0,3,0,0,1,0,17
77688420,76686653,1000.0,0.28692847,0.020975374,0.70017797,0.0,0,255,0,3,0,0,1,0,17
78689495,77688420,1000.0,0.28692847,0.02098294,0.9662144,0.0,0,255,0,3,0,0,1,0,17
79699439,78689495,1000.0,0.28692847,0.020979019,0.6983017,0.0,0,255,0,3,0,0,1,0,17
80707631,79699439,1000.0,0.28692847,0.020792078,0.99801975,0.07722772,0,255,0,3,0,0,1,0,17
81718751,80707631,1000.0,0.28692847,0.020833332,0.6954365,0.0,0,255,0,3,0,0,1,0,17
83729608,82719690,1000.0,0.28692847,0.020979209,0.88112676,0.0799208,0,255,0,3,0,0,1,0,17
84738564,83729608,1000.0,0.28692847,0.020769829,0.8842012,0.0,0,255,0,3,0,0,1,0,17
85748469,84738564,1000.0,0.28692847,0.02083416,0.6954641,0.0,0,255,0,3,0,0,1,0,17
86757647,85748469,1000.0,0.28692847,0.020792942,0.6940882,0.0,0,255,0,3,0,0,1,0,17
87757852,86757647,1000.0,0.28692847,0.02078825,1.0681201,0.0772135,0,255,0,3,0,0,1,0,17
88758955,87757852,1000.0,0.28692847,0.020795908,0.6922067,0.0,0,255,0,3,0,0,1,0,17
89764420,88758955,1000.0,0.28692847,0.020979019,0.8951048,0.0,0,255,0,3,0,0,1,0,17
90764429,89764420,1000.0,0.28692847,0.020843424,0.80495316,0.07940352,0,255,0,3,0,0,1,0,17
91774855,90764429,1000.0,0.28692847,0.020802109,0.8875566,0.0,0,255,0,3,0,0,1,0,17
92787169,91774855,1000.0,0.28692847,0.020771738,0.76360863,0.0,0,255,0,3,0,0,1,0,17
