timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,type,system_id,component_id,mode,flow_control,forwarding,mavlink_v2,ftp,streams
161815716,0,1200.0,0.35327327,0.0,0.50936514,0.0,0,0,0,0,0,1,0,0,33
162820468,0,1200.0,0.35327327,0.0,0.6610412,0.0,0,0,0,0,0,1,0,0,33
163823274,0,1200.0,0.35327327,0.0,0.45492792,0.0,0,0,0,0,0,1,0,0,33
164832050,0,1200.0,0.35327327,0.0,0.5149295,0.0,0,0,0,0,0,1,0,0,33
165839005,0,1200.0,0.35327327,0.0,0.65091115,0.0,0,0,0,0,0,1,0,0,33
166846725,0,1200.0,0.35327327,0.0,0.64025694,0.0,0,0,0,0,0,1,0,0,33
167855218,0,1200.0,0.35327327,0.0,0.58858967,0.0,0,0,0,0,0,1,0,0,33
168864412,0,1200.0,0.35327327,0.0,0.5205404,0.0,0,0,0,0,0,1,0,0,33
169871716,0,1200.0,0.35327327,0.0,0.55477864,0.0,0,0,0,0,0,1,0,0,33
170880033,0,1200.0,0.35327327,0.0,0.63472253,0.0,0,0,0,0,0,1,0,0,33
171882587,0,1200.0,0.35327327,0.0,0.6042721,0.0,0,0,0,0,0,1,0,0,33
172891481,0,1200.0,0.35327327,0.0,0.4567164,0.0,0,0,0,0,0,1,0,0,33
173893803,0,1200.0,0.35327327,0.0,0.6761157,0.0,0,0,0,0,0,1,0,0,33
174903290,0,1200.0,0.35327327,0.0,0.44764853,0.0,0,0,0,0,0,1,0,0,33
175905601,0,1200.0,0.35327327,0.0,0.57766694,0.0,0,0,0,0,0,1,0,0,33
176909036,0,1200.0,0.35327327,0.0,0.64472413,0.0,0,0,0,0,0,1,0,0,33
177917391,0,1200.0,0.35327327,0.0,0.5956009,0.0,0,0,0,0,0,1,0,0,33
178919448,0,1200.0,0.35327327,0.0,0.44511455,0.0,0,0,0,0,0,1,0,0,33
179929623,0,1200.0,0.35327327,0.0,0.677985,0.0,0,0,0,0,0,1,0,0,33
180930596,0,1200.0,0.35327327,0.0,0.5096662,0.0,0,0,0,0,0,1,0,0,33
181930645,0,1200.0,0.35327327,0.0,0.44214708,0.0,0,0,0,0,0,1,0,0,33
182938590,0,1200.0,0.35327327,0.0,0.7237473,0.0,0,0,0,0,0,1,0,0,33
183946661,0,1200.0,0.35327327,0.0,0.56924546,0.0,0,0,0,0,0,1,0,0,33
184951470,0,1200.0,0.35327327,0.0,0.7054986,0.0,0,0,0,0,0,1,0,0,33
185955559,0,1200.0,0.35327327,0.0,0.48167306,0.0,0,0,0,0,0,1,0,0,33
186956492,0,1200.0,0.35327327,0.0,0.47772685,0.0,0,0,0,0,0,1,0,0,33
187964551,0,1200.0,0.35327327,0.0,0.63733524,0.0,0,0,0,0,0,1,0,0,33
188969595,0,1200.0,0.35327327,0.0,0.60384315,0.0,0,0,0,0,0,1,0,0,33
189971488,0,1200.0,0.35327327,0.0,0.51188254,0.0,0,0,0,0,0,1,0,0,33
