timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
161844016,0.0006178792,0.0023089387,-0.0015637653,0.6579119,-0.0035469474,-0.0076598455,-0.7530477,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
161876057,-0.00010034605,-0.0028809966,-0.00047795684,0.6579258,-0.00359296,-0.007622218,-0.75303566,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
161908025,0.0015828705,0.003918058,-0.0011884245,0.6579386,-0.003638334,-0.007576078,-0.75302476,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
161940034,0.0009350262,0.00060804,-0.001320923,0.6579547,-0.003692892,-0.0075333035,-0.75301087,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
161972829,9.5814234e-05,0.00055540306,0.00018001907,0.65796727,-0.0037289266,-0.00746965,-0.75300026,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162004828,0.0015818453,0.0019034464,-0.0004977451,0.65798455,-0.0037856023,-0.0074261874,-0.75298524,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162032853,9.848806e-05,-0.002019619,-0.00026837038,0.6579996,-0.0038395268,-0.0073907664,-0.75297225,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162064849,0.0005271747,0.0016052737,7.61284e-05,0.6580189,-0.0038716167,-0.0073413868,-0.75295573,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162096799,-1.687929e-05,0.0005311016,-0.00020297663,0.6580443,-0.003933843,-0.0073041148,-0.7529336,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162128818,-0.00029399223,-0.0025244593,0.0015689221,0.6580745,-0.0039826995,-0.007258107,-0.75290745,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162161660,0.0004845066,0.0010590167,-0.0011789333,0.65809643,-0.0040329103,-0.0072022122,-0.7528885,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162193682,0.00039505423,-0.00042952644,-0.00040105637,0.6581152,-0.004098389,-0.0071621183,-0.7528721,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162221608,-6.795861e-06,0.0010810136,0.00064388476,0.6581314,-0.0041304976,-0.0071062534,-0.75285834,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162253610,0.0009057191,8.874107e-05,-0.0010650428,0.6581427,-0.004189567,-0.007066418,-0.7528485,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162285625,0.00028752163,-0.00074579474,-7.105153e-05,0.65815854,-0.0042390684,-0.007026329,-0.7528347,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162318401,-0.0009849061,0.000113216694,5.4256292e-05,0.65817267,-0.004287427,-0.006981188,-0.75282246,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162350414,-0.002060386,0.0022312063,-0.00038596243,0.65817803,-0.0043411218,-0.006926027,-0.752818,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162382423,0.00080908113,-0.0007506781,-0.00050342106,0.6581843,-0.00438742,-0.006881983,-0.7528127,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162414411,0.0004972471,-5.7928264e-07,-8.333009e-05,0.65819,-0.004427952,-0.0068387324,-0.75280774,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162448033,7.092068e-05,0.0005278662,-7.826695e-05,0.658196,-0.004474084,-0.0068061086,-0.75280267,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162480021,0.001253414,0.00043843314,0.00043524173,0.6582008,-0.004514872,-0.0067602643,-0.75279856,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162512010,0.0010416624,-0.0007334477,0.0005707422,0.65820765,-0.0045596464,-0.0067270147,-0.75279254,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162540030,-0.0015575027,0.00028783595,-0.0010900497,0.6582148,-0.004605623,-0.006700765,-0.7527863,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162572016,-0.00037091156,-0.0004397817,-0.00045794598,0.6582287,-0.004647999,-0.006671702,-0.7527741,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162604808,-4.0353043e-05,0.0011653127,0.00014434545,0.65825784,-0.0046932665,-0.0066326056,-0.75274885,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162636831,-0.00017060479,-0.00015307683,-0.0006729523,0.65829164,-0.0047441237,-0.006597569,-0.7527191,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162668799,-0.00012323377,-0.00054904306,0.001041983,0.6583318,-0.0047937464,-0.006568836,-0.75268394,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162700812,0.00079622515,0.0008158628,-0.00028331554,0.658381,-0.0048439163,-0.00655267,-0.75264084,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162728891,-1.7483719e-05,-0.0006580865,0.0009467879,0.65842396,-0.004871083,-0.0065321075,-0.75260323,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162761624,0.0012181499,0.0003759018,-0.0009066933,0.6584633,-0.004901374,-0.0065055382,-0.75256884,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162793618,-0.00078925816,-0.0013212524,-0.00039202347,0.658515,-0.004952243,-0.0064950744,-0.7525234,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162825681,-0.0005559524,-0.0010971082,0.0003517489,0.65856886,-0.004985692,-0.006488331,-0.752476,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162857609,-0.0008471216,0.0011597015,0.0013823425,0.6586205,-0.004998707,-0.0064587155,-0.75243104,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162889649,0.00092993863,-0.0001461627,-1.5961472e-05,0.6586787,-0.005036073,-0.006448322,-0.7523799,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162918423,0.00083883805,-0.0014083083,0.000443561,0.6587338,-0.0050719264,-0.0064536617,-0.7523313,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162950420,0.00042161858,0.0017878199,0.0007185901,0.6588032,-0.005108379,-0.0064408034,-0.7522705,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
162982403,-0.001404983,-0.00037125405,-0.00034801522,0.6588615,-0.0051274346,-0.0064277286,-0.7522194,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
163014404,-0.00034868903,-0.00058181304,-0.00048378203,0.6589181,-0.0051444434,-0.0064203492,-0.75216985,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
163044010,-0.0006404037,-0.0007758187,0.0005973475,0.658975,-0.0051709614,-0.0064102984,-0.7521198,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
163076000,0.0008221627,-0.0011416129,-0.00029104995,0.65903854,-0.005199189,-0.0064171227,-0.7520638,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
163108826,-0.000571426,0.00012636557,-0.0008025137,0.65910065,-0.0052062524,-0.006405872,-0.7520094,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
163140836,-0.00053834356,-0.001131535,0.000405499,0.65917027,-0.0052293027,-0.006411455,-0.75194824,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
163173651,-0.00073509396,-0.001544816,0.0009493141,0.6592417,-0.00525876,-0.0064138724,-0.7518855,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
163205617,-0.0023425336,0.001104244,0.00031480263,0.6593167,-0.005285244,-0.0064017354,-0.7518195,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
163237626,-0.00041530258,0.0011155326,0.00048540486,0.6593861,-0.005304422,-0.0063992743,-0.7517586,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
163269636,-0.00022511231,-0.0013524392,-0.00053443527,0.65944475,-0.005323144,-0.006392849,-0.751707,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
163302458,0.00052080164,0.0027296082,-0.0008353535,0.6595061,-0.0053374995,-0.0064040404,-0.75165296,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
163334401,-0.00481184,-0.0014045783,0.0022586854,0.65957654,-0.0054007447,-0.00639313,-0.75159085,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
163362432,0.004759576,0.0015052748,-0.001864037,0.65963995,-0.0053797355,-0.006424129,-0.7515351,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
163394490,-0.006154164,0.0037718727,-2.8974377e-05,0.65970653,-0.00540711,-0.0063833874,-0.7514768,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
163426403,-0.0005991218,-0.0071806796,0.00048003648,0.6597754,-0.005433992,-0.0064009996,-0.7514159,-0.98035663,-0.0026255155,-0.002538227,-0.19719897,2
