timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure,failure_detector_status
161644285,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
162646982,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
163651614,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
164653555,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
165664011,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
166667556,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
167674445,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
168679463,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
169686580,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
170696453,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
171705560,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
172710489,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
173712532,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
174717627,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
175718084,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
176727558,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
177728487,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
178735693,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
179739523,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
180739534,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
181740489,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
182748437,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
183751182,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
184754823,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
185758843,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
186765769,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
187769600,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
188777052,2555951,2162703,2555951,0,2,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
189347461,2555951,2162703,2555951,0,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
