timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
161822832,0,-0.07741131,-0.05639204,0.00031958762,0.0,0.0,0.0,0.0,0.0
161944296,0,-0.07708102,-0.056590267,0.0003969588,0.0,0.0,0.0,0.0,0.0
162049223,0,-0.07657057,-0.056382988,0.000531523,0.0,0.0,0.0,0.0,0.0
162150102,0,-0.07602222,-0.05649811,0.0006397457,0.0,0.0,0.0,0.0,0.0
162250040,0,-0.07560272,-0.0563445,0.0007275065,0.0,0.0,0.0,0.0,0.0
162350935,0,-0.07498677,-0.056437884,0.00077629345,0.0,0.0,0.0,0.0,0.0
162454419,0,-0.07467295,-0.05625362,0.0007977708,0.0,0.0,0.0,0.0,0.0
162552314,0,-0.074480586,-0.056073304,0.00089942693,0.0,0.0,0.0,0.0,0.0
162657175,0,-0.07407091,-0.05602984,0.0011026404,0.0,0.0,0.0,0.0,0.0
162758681,0,-0.073713295,-0.055961248,0.0013231674,0.0,0.0,0.0,0.0,0.0
162857881,0,-0.07357234,-0.055885684,0.0016259883,0.0,0.0,0.0,0.0,0.0
162963099,0,-0.073452316,-0.05561849,0.0019189634,0.0,0.0,0.0,0.0,0.0
163064345,0,-0.07333119,-0.055536687,0.002279293,0.0,0.0,0.0,0.0,0.0
163161911,0,-0.07321801,-0.055383746,0.002614064,0.0,0.0,0.0,0.0,0.0
163265891,0,-0.07310155,-0.055281833,0.0029574966,0.0,0.0,0.0,0.0,0.0
163368261,0,-0.07377373,-0.055322062,0.0033257771,0.0,0.0,0.0,0.0,0.0
163468491,0,-0.072905086,-0.055416502,0.003655169,0.0,0.0,0.0,0.0,0.0
163572270,0,-0.0732655,-0.05509767,0.004009895,0.0,0.0,0.0,0.0,0.0
163669121,0,-0.07285022,-0.05558059,0.004304185,0.0,0.0,0.0,0.0,0.0
163774829,0,-0.073219605,-0.055226352,0.0047371574,0.0,0.0,0.0,0.0,0.0
163871618,0,-0.07295104,-0.05562711,0.0051134396,0.0,0.0,0.0,0.0,0.0
163975561,0,-0.07343304,-0.054313984,0.0055173286,0.0,0.0,0.0,0.0,0.0
164078652,0,-0.07300051,-0.055381626,0.0058471328,0.0,0.0,0.0,0.0,0.0
164181028,0,-0.07276224,-0.054480955,0.006151718,0.0,0.0,0.0,0.0,0.0
164281092,0,-0.072671756,-0.054895867,0.0065794704,0.0,0.0,0.0,0.0,0.0
164382312,0,-0.07278859,-0.05481823,0.0068859556,0.0,0.0,0.0,0.0,0.0
164481888,0,-0.07180676,-0.055685684,0.0072163106,0.0,0.0,0.0,0.0,0.0
164582714,0,-0.07239482,-0.05473266,0.0074900547,0.0,0.0,0.0,0.0,0.0
164687622,0,-0.071644515,-0.054913674,0.007818441,0.0,0.0,0.0,0.0,0.0
164789612,0,-0.07195059,-0.05463999,0.008156376,0.0,0.0,0.0,0.0,0.0
164888276,0,-0.0709325,-0.055288833,0.008457413,0.0,0.0,0.0,0.0,0.0
164992510,0,-0.0704518,-0.05468108,0.008852944,0.0,0.0,0.0,0.0,0.0
165097949,0,-0.06947616,-0.055119205,0.009112533,0.0,0.0,0.0,0.0,0.0
165199030,0,-0.069305636,-0.05460679,0.009465567,0.00591716,0.0,0.0,0.0,0.0
165300534,0,-0.06868832,-0.05523823,0.009667175,0.015779093,0.0,0.0,0.0,0.0
165401087,0,-0.06793858,-0.06005987,0.010841974,0.016765285,0.0,0.0,0.0,0.0
165502122,0,-0.06649341,-0.05247133,0.01122152,0.01775148,0.0,0.0,0.0,0.0
165601881,0,-0.06601842,-0.051354848,0.017732475,0.018737672,0.0,0.0,0.0,0.0
165705927,0,-0.06600506,-0.05593753,0.011767571,0.018737672,0.0,0.0,0.0,0.0
165806787,0,-0.06749838,-0.058124486,0.012068488,0.01775148,0.0,0.0,0.0,0.0
165909217,0,-0.06388448,-0.056413636,0.012672768,0.018737672,0.0,0.0,0.0,0.0
166011753,0,-0.06396794,-0.05430932,0.013294092,0.018737672,0.0,0.0,0.0,0.0
166112269,0,-0.06094116,-0.054755002,0.014274549,0.018737672,0.0,0.0,0.0,0.0
166214050,0,-0.062627636,-0.0565685,0.0070664785,0.01775148,0.0,0.0,0.0,0.0
166313232,0,-0.058310177,-0.05338898,0.016080111,0.01775148,0.0,0.0,0.0,0.0
166417903,0,-0.059650145,-0.054014754,0.01605491,0.018737672,0.0,0.0,0.0,0.0
166518114,0,-0.056235142,-0.056328658,0.009635457,0.018737672,0.0,0.0,0.0,0.0
166618678,0,-0.056541737,-0.057040207,0.007784273,0.028599605,0.0,0.0,0.0,0.0
166720265,0,-0.055001423,-0.054524086,0.0130548235,0.037475344,0.0,0.0,0.0,0.0
166821994,0,-0.05138511,-0.052749313,0.013138591,0.04733728,0.0,0.0,0.0,0.0
166925385,0,-0.05062001,-0.053876605,0.015183222,0.05029586,0.0,0.0,0.0,0.0
167025902,0,-0.049244404,-0.05436069,0.014443762,0.053254437,0.0,0.0,0.0,0.0
167126124,0,-0.048244543,-0.05300618,0.013313616,0.054240633,0.0,0.0,0.0,0.0
167227159,0,-0.047197115,-0.056576304,0.013602848,0.054240633,0.0,0.0,0.0,0.0
167328445,0,-0.046876144,-0.05463466,0.014668918,0.054240633,0.0,0.0,0.0,0.0
167429782,0,-0.042637225,-0.055614423,0.012906818,0.054240633,0.0,0.0,0.0,0.0
167533362,0,-0.042371403,-0.056314416,0.012283244,0.054240633,0.0,0.0,0.0,0.0
167633978,0,-0.040115163,-0.05339053,0.012286907,0.055226825,0.0,0.0,0.0,0.0
167735498,0,-0.040438157,-0.056450076,0.010403911,0.058185406,0.0,0.0,0.0,0.0
