timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
161838958,5.2625976,0.0,0,1,1,1,1,1,0
162338958,5.2577634,0.0,0,1,1,1,1,1,0
162848991,5.1981444,0.0,0,1,1,1,1,1,0
163348970,5.18042,0.0,0,1,1,1,1,1,0
163848961,5.1014647,0.0,0,1,1,1,1,1,0
164348961,5.1643066,0.0,0,1,1,1,1,1,0
164848967,5.1739745,0.0,0,1,1,1,1,1,0
165348992,5.20459,0.0,0,1,1,1,1,1,0
165848961,5.2609863,0.0,0,1,1,1,1,1,0
166348968,5.21748,0.0,0,1,1,1,1,1,0
166848968,5.2609863,0.0,0,1,1,1,1,1,0
167348963,5.215869,0.0,0,1,1,1,1,1,0
167858958,5.2625976,0.0,0,1,1,1,1,1,0
168358968,5.225537,0.0,0,1,1,1,1,1,0
168858958,5.017676,0.0,0,1,1,1,1,1,0
169358958,5.019287,0.0,0,1,1,1,1,1,0
169858958,4.980615,0.0,0,1,1,1,1,1,0
170358958,5.017676,0.0,0,1,1,1,1,1,0
170858958,5.2094235,0.0,0,1,1,1,1,1,0
171358958,5.2674317,0.0,0,1,1,1,1,1,0
171858958,4.979004,0.0,0,1,1,1,1,1,0
172358958,5.2609863,0.0,0,1,1,1,1,1,0
172858958,5.26582,0.0,0,1,1,1,1,1,0
173368968,4.980615,0.0,0,1,1,1,1,1,0
173868961,5.2609863,0.0,0,1,1,1,1,1,0
174368961,4.979004,0.0,0,1,1,1,1,1,0
174868991,5.2577634,0.0,0,1,1,1,1,1,0
175368968,4.980615,0.0,0,1,1,1,1,1,0
175868962,5.2609863,0.0,0,1,1,1,1,1,0
176368961,5.225537,0.0,0,1,1,1,1,1,0
176868998,5.190088,0.0,0,1,1,1,1,1,0
177378958,5.2577634,0.0,0,1,1,1,1,1,0
177878958,5.1868653,0.0,0,1,1,1,1,1,0
178378958,5.0257325,0.0,0,1,1,1,1,1,0
178878957,5.215869,0.0,0,1,1,1,1,1,0
179378958,5.2625976,0.0,0,1,1,1,1,1,0
179878958,5.2609863,0.0,0,1,1,1,1,1,0
180378960,5.2609863,0.0,0,1,1,1,1,1,0
180878958,5.0740724,0.0,0,1,1,1,1,1,0
181378958,5.0998535,0.0,0,1,1,1,1,1,0
181878958,5.2625976,0.0,0,1,1,1,1,1,0
182378958,5.21748,0.0,0,1,1,1,1,1,0
182878958,5.1997557,0.0,0,1,1,1,1,1,0
183378958,5.1208005,0.0,0,1,1,1,1,1,0
183878958,5.2609863,0.0,0,1,1,1,1,1,0
184388961,5.08374,0.0,0,1,1,1,1,1,0
184888968,5.206201,0.0,0,1,1,1,1,1,0
185388991,5.2577634,0.0,0,1,1,1,1,1,0
185888961,5.206201,0.0,0,1,1,1,1,1,0
186388967,5.1739745,0.0,0,1,1,1,1,1,0
186888961,5.21748,0.0,0,1,1,1,1,1,0
187388961,5.2577634,0.0,0,1,1,1,1,1,0
187888968,5.235205,0.0,0,1,1,1,1,1,0
188388961,5.088574,0.0,0,1,1,1,1,1,0
188888996,5.2609863,0.0,0,1,1,1,1,1,0
189398958,5.2094235,0.0,0,1,1,1,1,1,0
189898958,5.1852536,0.0,0,1,1,1,1,1,0
