timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
161839976,12.295587,12.186022,0.53518856,0.34160548,0.0,13.444408,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
162346374,12.306468,12.177626,0.40955007,0.32421613,0.0,13.492929,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
162841581,12.241181,12.172524,0.34673083,0.30652055,0.0,13.53913,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
163350386,12.284706,12.173805,0.40955007,0.316325,0.0,13.592193,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
163846378,12.099729,12.17608,0.12686351,0.3208488,0.0,13.643012,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
164352783,12.197658,12.17621,0.34673083,0.31279734,0.0,13.692686,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
164848007,12.143252,12.176387,0.15827313,0.30377197,0.0,13.740017,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
165344061,12.262944,12.176511,0.252502,0.32282132,0.0,13.7924385,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
165850381,12.32823,12.176878,0.53518856,0.34295645,0.0,13.846876,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
166344767,12.317349,12.180263,0.5980078,0.3598585,0.0,13.900849,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
166852778,12.306468,12.185036,0.5980078,0.38350096,0.0,13.957763,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
167348005,12.252063,12.188039,0.4409597,0.40610033,0.0,14.016042,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
167854373,12.273825,12.1926775,0.6294174,0.43273824,0.0,14.077136,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
168350373,12.154134,12.191387,0.6294174,0.45829493,0.0,14.1385975,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
168857585,11.936512,12.182063,0.12686351,0.457248,0.0,14.201012,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
169351999,11.958275,12.175316,0.09545389,0.45002782,0.0,14.261824,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
169858370,11.958275,12.173128,0.09545389,0.4634639,0.0,14.329131,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
170354372,11.936512,12.182727,0.18968274,0.49839634,0.0,14.399482,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
170861577,12.165014,12.188347,0.6294174,0.5036825,0.0,14.464992,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
171356780,12.306468,12.174364,0.5980078,0.464432,0.0,14.521014,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
171863171,11.958275,12.157364,0.0012250298,0.40601107,0.0,14.579745,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
172357576,12.262944,12.192987,0.5980078,0.50964165,0.0,14.658964,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
172864776,12.284706,12.171939,0.5980078,0.45067254,0.0,14.714055,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
173359982,11.936512,12.178035,0.09545389,0.48521218,0.0,14.788171,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
173866374,12.306468,12.175488,0.69223666,0.4699472,0.0,14.845895,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
174361596,11.936512,12.160769,0.03263465,0.42840874,0.0,14.906029,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
174870383,12.284706,12.180938,0.7236462,0.4756946,0.0,14.973386,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
