timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
14175221,0,0.0,0.0,0.0,0.0,0.14230855,4.087936e-08,-1.7096079e-07,0.0,-0.027874725,0.00242514,0.011235492,0.019963462,1.0219839e-05,-4.2740194e-05,0.0,0.021630326,-0.0010934767,0.029756194,-1.7626994,0.0,0.1,-0.011235492,0.13463823,0.2778898,0.124068804,0.12358162,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14280057,0,0.0,0.0,0.0,0.0,0.13519478,4.087936e-08,-1.7096079e-07,0.0,-0.03010215,0.0017781167,0.008169444,0.007881934,1.0219839e-05,-4.2740194e-05,0.0,-0.012587996,0.005553393,-0.014053719,-1.7640216,0.0,0.1,-0.008169444,0.1331334,0.27533692,0.12269094,0.12175113,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14384008,0,0.0,0.0,0.0,0.0,0.12833717,4.087936e-08,-1.7096079e-07,0.0,-0.032751527,0.0026735226,0.005253042,-0.0023226351,1.0219839e-05,-4.2740194e-05,0.0,-0.044670414,0.019321015,-0.009061076,-1.7652112,0.0,0.1,-0.005253042,0.13395475,0.27536365,0.12277559,0.12083835,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14480810,0,0.0,0.0,0.0,0.0,0.12648278,4.087936e-08,-1.7096079e-07,0.0,-0.03423641,0.0024115143,0.0043540285,-0.0044238954,1.0219839e-05,-4.2740194e-05,0.0,-0.043806672,-0.014817856,-0.0042347866,-1.7660524,0.0,0.10173011,-0.0043540285,0.1340138,0.27464646,0.12240967,0.119809866,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14585610,0,0.0,0.0,0.0,0.0,0.12438758,4.087936e-08,-1.7096079e-07,0.0,-0.03621928,0.002841471,0.0029588265,-0.007085093,1.0219839e-05,-4.2740194e-05,0.0,-0.022843834,-0.017687917,0.013459857,-1.7671245,0.0,0.1,-0.0029588265,0.13253349,0.2722022,0.1211019,0.1182609,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14689623,0,0.0,0.0,0.0,0.0,0.12257674,4.087936e-08,-1.7096079e-07,0.0,-0.036938738,0.0021164217,0.001678488,-0.009023929,1.0219839e-05,-4.2740194e-05,0.0,-0.0030003954,0.01358221,-0.008974997,-1.7652324,0.0,0.1,-0.001678488,0.13328315,0.27221724,0.1211382,0.11756304,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14786429,0,0.0,0.0,0.0,0.0,0.120482475,4.087936e-08,-1.7096079e-07,0.0,-0.03830653,0.0022952766,0.00032569625,-0.011216938,1.0219839e-05,-4.2740194e-05,0.0,-0.02590559,0.027107513,-0.024748096,-1.7642176,0.0,0.1,-0.00032569625,0.13111345,0.26912367,0.11947767,0.116030715,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14891239,0,0.0,0.0,0.0,0.0,0.11564217,4.087936e-08,-1.7096079e-07,0.0,-0.039159212,0.0020828326,-0.0017863495,-0.01651717,1.0219839e-05,-4.2740194e-05,0.0,-0.050599955,0.019389322,-0.004007875,-1.762637,0.0,0.1,0.0017863495,0.12984633,0.26688588,0.11838646,0.11480166,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
14988012,0,0.0,0.0,0.0,0.0,0.113073975,4.087936e-08,-1.7096079e-07,0.0,-0.039537635,0.0018119626,-0.0033863024,-0.018651335,1.0219839e-05,-4.2740194e-05,0.0,-0.03471198,-0.006454497,-0.019813951,-1.7609706,0.0,0.1,0.0033863024,0.13023037,0.26646298,0.1183474,0.11419604,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
15092825,0,0.0,0.0,0.0,0.0,0.11017489,4.087936e-08,-1.7096079e-07,0.0,-0.03981761,0.001969282,-0.004629062,-0.020373987,1.0219839e-05,-4.2740194e-05,0.0,-0.030358965,-0.009876231,0.006781827,-1.7598288,0.0,0.1,0.004629062,0.12925375,0.26454142,0.117458634,0.1131527,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
