timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
14147612,0,-0.07944352,-0.057575226,-3.2024655e-06,0.0,0.0,0.0,0.0,0.0
14276276,0,-0.07964499,-0.058241464,-0.0011753064,0.0,0.0,0.0,0.0,0.0
14384509,0,-0.07978169,-0.05781625,-0.0016510058,0.0,0.0,0.0,0.0,0.0
14485142,0,-0.079468705,-0.05797126,-0.0024424451,0.0,0.0,0.0,0.0,0.0
14586669,0,-0.079618506,-0.05804754,-0.0023882624,0.0,0.0,0.0,0.0,0.0
14686413,0,-0.07958766,-0.058115173,-0.0011178834,0.0,0.0,0.0,0.0,0.0
14790714,0,-0.079606354,-0.0579808,-0.00065408676,0.0,0.0,0.0,0.0,0.0
14892280,0,-0.07971517,-0.058086563,0.0006978884,0.0,0.0,0.0,0.0,0.0
14992392,0,-0.07950092,-0.05813439,0.0011919244,0.0,0.0,0.0,0.0,0.0
15095091,0,-0.07954019,-0.05814057,0.0021591904,0.0,0.0,0.0,0.0,0.0
15195458,0,-0.07951541,-0.058396272,0.0016596881,0.0,0.0,0.0,0.0,0.0
15295869,0,-0.07950257,-0.05832475,0.00026408196,0.0,0.0,0.0,0.0,0.0
15396298,0,-0.07975031,-0.05812101,-1.1155898e-05,0.0,0.0,0.0,0.0,0.0
15501194,0,-0.07991708,-0.058296416,0.00091279746,0.0,0.0,0.0,0.0,0.0
15604840,0,-0.080152325,-0.05835515,0.0023690935,0.0,0.0,0.0,0.0,0.0
15706999,0,-0.08036199,-0.058287583,0.003958497,0.0,0.0,0.0,0.0,0.0
15807481,0,-0.08039785,-0.05830039,0.0049326657,0.0,0.0,0.0,0.0,0.0
15905099,0,-0.08049049,-0.058246635,0.005437461,0.0,0.0,0.0,0.0,0.0
16009301,0,-0.08067566,-0.05813001,0.0059275497,0.0,0.0,0.0,0.0,0.0
16112018,0,-0.08069638,-0.05809311,0.006139072,0.0,0.0,0.0,0.0,0.0
16214356,0,-0.08073034,-0.05809587,0.008223987,0.0,0.0,0.0,0.0,0.0
16314685,0,-0.08070966,-0.05816408,0.01048458,0.0,0.0,0.0,0.0,0.0
16417118,0,-0.08091276,-0.058197822,0.011793498,0.0,0.0,0.0,0.0,0.0
16519892,0,-0.08075036,-0.058060806,0.013544386,0.0,0.0,0.0,0.0,0.0
16620279,0,-0.080863915,-0.058144655,0.013972919,0.0,0.0,0.0,0.0,0.0
16720580,0,-0.08100989,-0.058137633,0.014082756,0.0,0.0,0.0,0.0,0.0
16821225,0,-0.080897525,-0.05810222,0.014130041,0.0,0.0,0.0,0.0,0.0
16925352,0,-0.08119979,-0.058170896,0.015666045,0.0,0.0,0.0,0.0,0.0
17021979,0,-0.08122413,-0.0583483,0.017668141,0.0,0.0,0.0,0.0,0.0
17126676,0,-0.081253536,-0.058243334,0.020895591,0.0,0.0,0.0,0.0,0.0
17226948,0,-0.081525244,-0.058385007,0.024185171,0.0,0.0,0.0,0.0,0.0
17331762,0,-0.08137758,-0.058244646,0.025001865,0.0,0.0,0.0,0.0,0.0
17432284,0,-0.08148644,-0.058318924,0.025571024,0.0,0.0,0.0,0.0,0.0
17533059,0,-0.08156525,-0.058231965,0.025970506,0.0,0.0,0.0,0.0,0.0
17633324,0,-0.081518725,-0.058290523,0.025972074,0.0,0.0,0.0,0.0,0.0
17737093,0,-0.08170112,-0.058182385,0.026426205,0.0,0.0,0.0,0.0,0.0
17833905,0,-0.08175652,-0.058257565,0.027665377,0.0,0.0,0.0,0.0,0.0
17938115,0,-0.082155004,-0.058360126,0.029861808,0.0,0.0,0.0,0.0,0.0
18040451,0,-0.08198919,-0.0585956,0.03015226,0.0,0.0,0.0,0.0,0.0
18139599,0,-0.08204175,-0.058530256,0.030203272,0.0,0.0,0.0,0.0,0.0
18245192,0,-0.08228637,-0.058409333,0.031336226,0.0,0.0,0.0,0.0,0.0
18346629,0,-0.082184464,-0.058512382,0.031666532,0.0,0.0,0.0,0.0,0.0
18447602,0,-0.08217682,-0.058493778,0.03212654,0.0,0.0,0.0,0.0,0.0
18548542,0,-0.08216544,-0.058579657,0.032469526,0.0,0.0,0.0,0.0,0.0
18650011,0,-0.08213323,-0.05859125,0.03284343,0.0,0.0,0.0,0.0,0.0
18750948,0,-0.08204346,-0.058667243,0.03210366,0.0,0.0,0.0,0.0,0.0
