timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
31683697,12.295587,12.366442,0.4409597,0.47478545,0.0,3.9462194,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
32194098,12.393517,12.367394,0.53518856,0.48410556,0.0,4.0153756,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
32688395,12.415278,12.36899,0.50377893,0.474387,0.0,4.079119,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
33196393,12.306468,12.364834,0.2839116,0.5095278,0.0,4.1536546,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
33692405,12.360873,12.362393,0.5980078,0.5507959,0.0,4.2344685,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
34198006,12.317349,12.362427,0.50377893,0.56321007,0.0,4.315071,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
34693280,12.393517,12.360996,0.69223666,0.5840997,0.0,4.3971086,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
35199596,12.317349,12.355404,0.7236462,0.6705898,0.0,4.4977,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
35693991,12.360873,12.355072,0.7550559,0.72972876,0.0,4.6047745,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
36199600,12.349993,12.339856,1.163381,0.95055175,0.0,4.7584486,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
36694790,12.317349,12.320843,1.5088867,1.1874008,0.0,4.943511,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
37200491,12.186776,12.292181,2.1056695,1.5705259,0.0,5.1987658,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
37706806,12.110609,12.262263,2.1684887,1.892247,0.0,5.496047,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
38200495,12.2194195,12.228059,2.733862,2.3801353,0.0,5.870806,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
38706790,12.099729,12.188883,2.7966812,2.7644029,0.0,6.2949743,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
39200396,12.023561,12.144842,4.4928,3.3972294,0.0,6.816216,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
39707583,12.056204,12.089479,4.3043427,3.8941174,0.0,7.417617,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
40201990,11.838583,12.017422,6.1575103,4.8981843,0.0,8.167301,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
40708385,11.838583,11.958696,5.6235466,5.3645544,0.0,8.974491,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
41201981,11.947393,11.953762,4.52421,4.96277,0.0,9.619238,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
41709184,11.969155,11.9510145,3.8331985,4.669351,0.0,10.256696,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
42202803,11.272768,11.881382,11.905471,6.169649,0.0,11.191926,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
42710076,12.262944,11.90586,0.4409597,4.792364,0.0,11.874599,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
43204386,12.230301,12.011015,0.660827,2.514775,0.0,11.975036,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
43709991,12.284706,12.093564,0.7236462,1.455943,0.0,12.066582,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
44203592,12.273825,12.14559,0.40955007,1.0368494,0.0,12.167088,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
44710793,12.197658,12.184145,0.7864655,0.9002664,0.0,12.275494,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
45217298,12.241181,12.213634,0.40955007,0.6895791,0.0,12.355209,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
45710791,12.197658,12.235625,0.40955007,0.55214006,0.0,12.415755,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
46217981,12.295587,12.254091,0.4723693,0.4799087,0.0,12.475876,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
46712499,12.262944,12.267971,0.22109237,0.43963563,0.0,12.532106,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
47218781,12.317349,12.274412,0.4409597,0.4178552,0.0,12.5886545,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
47712479,12.317349,12.279593,0.4723693,0.42099556,0.0,12.646936,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
48218788,12.230301,12.286676,0.37814048,0.42010698,0.0,12.706769,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
48712393,12.349993,12.291872,0.37814048,0.4273599,0.0,12.765568,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
49217994,12.252063,12.293004,0.252502,0.4212361,0.0,12.8249035,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
49712481,12.306468,12.2905445,0.34673083,0.41835523,0.0,12.882438,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
50218006,12.186776,12.284773,0.22109237,0.40466756,0.0,12.93787,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
50713991,12.317349,12.277305,0.34673083,0.36988696,0.0,12.985479,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
51221188,12.349993,12.272911,0.37814048,0.35452107,0.0,13.034544,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
51726893,12.252063,12.270433,0.18968274,0.3644738,0.0,13.086994,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
52221991,12.306468,12.267684,0.40955007,0.34169805,0.0,13.131019,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
52728383,12.208539,12.267013,0.34673083,0.34789184,0.0,13.180609,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
53729193,12.32823,12.272786,0.2839116,0.32403666,0.0,13.270434,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
54222782,12.371755,12.28297,0.5980078,0.3723324,0.0,13.326184,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
54728384,12.295587,12.292808,0.40955007,0.40337372,0.0,13.386783,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
55222785,12.339111,12.301575,0.40955007,0.41949624,0.0,13.44552,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
55728392,12.32823,12.303991,0.40955007,0.40638468,0.0,13.501272,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
56224383,12.32823,12.306261,0.4723693,0.41857004,0.0,13.560642,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
56730890,12.295587,12.308029,0.252502,0.4143654,0.0,13.619457,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
57224392,12.306468,12.311947,0.22109237,0.41564065,0.0,13.676392,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
57729994,12.360873,12.313304,0.3153212,0.4371174,0.0,13.7394495,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
58224383,12.262944,12.315415,0.53518856,0.43627083,0.0,13.799489,1.0,1.0,0.0,3,0,0,0,0,0,1,1,0,0,0
