timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,type,system_id,component_id,mode,flow_control,forwarding,mavlink_v2,ftp,streams
31475554,30465144,1000.0,0.28692847,0.020958627,0.80940217,0.0768483,0,255,0,3,0,0,1,0,17
32481502,31475554,1000.0,0.28692847,0.02083755,1.1688874,0.0,0,255,0,3,0,0,1,0,17
33492492,32481502,1000.0,0.28692847,0.02077554,0.7202187,0.0,0,255,0,3,0,0,1,0,17
34502424,33492492,1000.0,0.28692847,0.02078506,0.72054875,0.0,0,255,0,3,0,0,1,0,17
35510507,34502424,1000.0,0.28692847,0.020811385,1.027686,0.076308414,0,255,0,3,0,0,1,0,17
36514953,35510507,1000.0,0.28692847,0.020749737,0.76082367,0.0,0,255,0,3,0,0,1,0,17
37516652,36514953,1000.0,0.28692847,0.020999474,0.9269768,0.0,0,255,0,3,0,0,1,0,17
38519749,37516652,1000.0,0.28692847,0.020921167,0.8488017,0.03586486,0,255,0,3,0,0,1,0,17
39530420,38519749,1000.0,0.28692847,0.02097816,0.89506817,0.0,0,255,0,3,0,0,1,0,17
40540623,39530420,1000.0,0.28692847,0.020761369,0.69303423,0.0,0,255,0,3,0,0,1,0,17
41542594,40540623,1000.0,0.28692847,0.020761983,1.0667704,0.076127276,0,255,0,3,0,0,1,0,17
42545608,41542594,1000.0,0.28692847,0.02096484,0.69982636,0.0,0,255,0,3,0,0,1,0,17
43546532,42545608,1000.0,0.28692847,0.020972274,0.70606655,0.0,0,255,0,3,0,0,1,0,17
44548676,43546532,1000.0,0.28692847,0.02095804,0.8982017,0.0,0,255,0,3,0,0,1,0,17
45554505,44548676,1000.0,0.28692847,0.020976651,0.81509274,0.07891217,0,255,0,3,0,0,1,0,17
46563559,45554505,1000.0,0.28692847,0.020877097,0.93549275,0.0,0,255,0,3,0,0,1,0,17
47564537,46563559,1000.0,0.28692847,0.02079,0.72863996,0.0,0,255,0,3,0,0,1,0,17
48570469,47564537,1000.0,0.28692847,0.041514445,1.0012889,0.07610982,0,255,0,3,0,0,1,0,17
49579420,48570469,1000.0,0.28692847,0.0,0.70234704,0.0,0,255,0,3,0,0,1,0,17
50586424,49579420,1000.0,0.28692847,0.04162302,0.92958075,0.0,0,255,0,3,0,0,1,0,17
51593818,50586424,1000.0,0.28692847,0.0,0.7224422,0.0,0,255,0,3,0,0,1,0,17
52596120,51593818,1000.0,0.28692847,0.020868672,0.8059283,0.07651847,0,255,0,3,0,0,1,0,17
54602474,52596120,1000.0,0.28692847,0.014926842,0.69559085,0.0,0,255,0,3,0,0,1,0,17
55611527,54602474,1000.0,0.28692847,0.0,1.0432279,0.078941576,0,255,0,3,0,0,1,0,17
56611949,55611527,1000.0,0.28692847,0.041564733,0.72045535,0.0,0,255,0,3,0,0,1,0,17
57617420,56611949,1000.0,0.28692847,0.0,0.88530976,0.0,0,255,0,3,0,0,1,0,17
