timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
31687694,0.0,0.0,0.0,-0.38547283,0.27601773,-0.06201172,-0.002420254,0.009447947,-0.033692002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25779638,0.25782305,4.0642457,0.0025098224,0.0025089197,0.00250353,0.0,0.0,0.0,0.0,0.0,0.0,0.0032767758,0.031412803,0.060597472,0.0,0.0,0.0,0.0,0.0,0.0
31890086,0.0,0.0,0.0,-0.3660358,0.25378522,0.005554199,0.029661268,0.038907453,0.00505507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25758016,0.25760424,4.063347,0.0025097153,0.0025087942,0.002503507,0.0,0.0,0.0,0.0,0.0,0.0,0.0039243414,0.027727382,0.0521444,0.0,0.0,0.0,0.0,0.0,0.0
32093297,0.0,0.0,0.0,-0.3491281,0.23303294,0.3149414,-0.008880295,0.023834944,-0.022894382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2574386,0.25746036,4.062671,0.0025096566,0.0025086913,0.0025034805,0.0,0.0,0.0,0.0,0.0,0.0,0.0038638625,0.026388995,0.051864963,0.0,0.0,0.0,0.0,0.0,0.0
32294885,0.0,0.0,0.0,-0.3462093,0.2238674,-0.19102478,0.0243771,0.01317513,-0.011636019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25759876,0.25762007,4.063342,0.002509629,0.00250862,0.0025034577,0.0,0.0,0.0,0.0,0.0,0.0,0.00352176,0.034558382,0.06362201,0.0,0.0,0.0,0.0,0.0,0.0
32495719,0.0,0.0,0.0,-0.3325991,0.20852304,0.047912598,0.020942386,0.031276897,-0.012849033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25751576,0.25753555,4.0629644,0.00250957,0.002508518,0.002503431,0.0,0.0,0.0,0.0,0.0,0.0,0.0035426344,0.03795301,0.067357525,0.0,0.0,0.0,0.0,0.0,0.0
32696480,0.0,0.0,0.0,-0.31737813,0.19100338,0.18714905,-0.025253616,0.020565793,-0.0077846646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25738615,0.25740486,4.062352,0.002509491,0.0025084075,0.002503399,0.0,0.0,0.0,0.0,0.0,0.0,0.002790869,0.034097377,0.06390488,0.0,0.0,0.0,0.0,0.0,0.0
32898894,0.0,0.0,0.0,-0.30358914,0.1759715,0.08016968,0.015471462,0.015848994,0.0036261082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25729102,0.25730926,4.061848,0.0025094198,0.002508303,0.002503353,0.0,0.0,0.0,0.0,0.0,0.0,0.0025722603,0.033673104,0.061861336,0.0,0.0,0.0,0.0,0.0,0.0
33099690,0.0,0.0,0.0,-0.32261133,0.18132523,0.050933838,0.0012576617,0.03583601,0.0045431256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.007996,100.00802,4.0629187,0.0025093916,0.002508248,0.0025033301,0.0,0.0,0.0,0.0,0.0,0.0,0.0016197676,0.061632983,0.10384972,0.0,0.0,0.0,0.0,0.0,0.0
33300500,0.0,0.0,0.0,-0.40414682,0.21745989,-0.19898987,-0.011088476,0.025325477,-0.02883035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.010414,100.010445,4.063882,0.0025093616,0.0025082412,0.0025032938,0.0,0.0,0.0,0.0,0.0,0.0,0.0017642651,0.09103966,0.15102987,0.0,0.0,0.0,0.0,0.0,0.0
33502097,0.0,0.0,0.0,-0.50392777,0.2635316,-0.49102783,-0.01458396,-0.002225384,0.004340291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.013885,100.01395,4.064777,0.0025093476,0.002508221,0.002503278,0.0,0.0,0.0,0.0,0.0,0.0,0.0016339391,0.09956492,0.16929819,0.0,0.0,0.0,0.0,0.0,0.0
33704512,0.0,0.0,0.0,-0.501097,0.2554592,0.16029358,-0.025922269,0.013949096,0.00440681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26473284,0.26479954,4.06529,0.0025092794,0.002508109,0.002503223,0.0,0.0,0.0,0.0,0.0,0.0,0.0028942588,0.03003483,0.058725577,0.0,0.0,0.0,0.0,0.0,0.0
33905329,0.0,0.0,0.0,-0.40480262,0.19743171,0.306015,0.0032921582,0.02387911,-0.01658529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2624113,0.26245737,4.066341,0.0025091905,0.0025079797,0.002503167,0.0,0.0,0.0,0.0,0.0,0.0,0.004754499,0.03148206,0.05778828,0.0,0.0,0.0,0.0,0.0,0.0
34106096,0.0,0.0,0.0,-0.34648207,0.15876462,-0.022918701,0.010733943,0.021174178,-0.011158466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26094463,0.26098004,4.066923,0.0025091295,0.0025078836,0.0025031038,0.0,0.0,0.0,0.0,0.0,0.0,0.0053818836,0.030188961,0.063313626,0.0,0.0,0.0,0.0,0.0,0.0
