timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail,health_flags,timeout_flags
31687694,-0.38193327,0.015768075,-0.014593148,0.9239402,-0.44043013,0.26510987,0.12101721,-0.38124642,0.27189985,2.963111,1.8517718e-05,4.8953957e-06,-0.000101637874,-0.0003095836,-0.00093630666,0.0010895118,0.16042343,-0.018015694,0.51522714,0.03762907,0.09014138,0.025984138,0.0,0.0,5.4682536e-11,5.390164e-06,0.00052883406,0.00017502627,5.0102176e-06,5.2961673e-06,4.1314728e-05,0.0054306216,0.005446657,0.012356694,0.0077218283,0.007748033,0.06393305,1.6376019e-11,1.6297824e-11,1.247269e-10,5.5998086e-08,6.395156e-08,5e-08,9.924776e-06,5.84573e-06,0.00010670713,1.1735323e-05,1.071362e-05,0.000106736305,0.0,0.0,611,0.1243779,0.25284985,0.22445495,0.0,0.0075919856,0.006151964,0.0,0.0,0.0,-0.004263,0,0,0,165,24,0,0,0
31890086,-0.38221624,0.015659409,-0.014094189,0.9238328,-0.41777676,0.2424737,0.1204673,-0.35858634,0.24821267,2.9863758,1.7523167e-05,4.55894e-06,-0.000100517405,-0.00030766946,-0.0009473344,0.0010836466,0.15953283,-0.017956195,0.51504236,0.036861785,0.08980631,0.026292032,0.0,0.0,8.31454e-11,6.569757e-06,0.0005991405,0.000175854,5.0035765e-06,5.2763417e-06,4.1676474e-05,0.0052973875,0.005311534,0.012254371,0.0074355816,0.007458637,0.062705986,1.619224e-11,1.6121606e-11,1.2356086e-10,5.589403e-08,6.375402e-08,5.0000036e-08,9.817047e-06,5.8001683e-06,0.00010647727,1.1659981e-05,1.0608987e-05,0.00010653732,0.0,0.0,611,0.12204187,0.25041163,0.258928,0.0,0.007212193,0.00055107346,0.0,0.0,0.0,-0.00427,0,0,0,165,24,0,0,0
32093297,-0.38307497,0.01556538,-0.013511744,0.92348737,-0.39706767,0.22050965,0.11660435,-0.3390139,0.22626379,2.9941647,1.6444808e-05,4.2798147e-06,-9.992074e-05,-0.00029741833,-0.0009566851,0.0010852345,0.1589569,-0.017895697,0.5148916,0.036333416,0.08956664,0.026525302,0.0,0.0,8.745662e-11,7.2388066e-06,0.0008191445,0.00017662991,5.0006656e-06,5.262831e-06,4.2023734e-05,0.0052065877,0.0052199913,0.012178381,0.0072236625,0.007244192,0.061704274,1.6021899e-11,1.595683e-11,1.223944e-10,5.5791524e-08,6.3555255e-08,5e-08,9.714446e-06,5.755704e-06,0.00010624721,1.1586667e-05,1.0506033e-05,0.00010633754,0.0,0.0,611,0.12028239,0.24840344,0.15862414,0.0,0.006880943,0.03125028,0.0,0.0,0.0,-0.004259,0,0,0,165,24,0,0,0
32294885,-0.38367617,0.015557344,-0.013104897,0.9232437,-0.3887725,0.2092499,0.1143026,-0.33909965,0.21890712,3.0069373,1.5628222e-05,3.992883e-06,-9.9189754e-05,-0.00028928244,-0.00096000865,0.0010837939,0.15851803,-0.017824326,0.5148681,0.03591348,0.08942726,0.026635414,0.0,0.0,7.08381e-11,6.394616e-06,0.00077992876,0.00017764163,5.0290705e-06,5.283288e-06,4.2436415e-05,0.0053096977,0.0053244187,0.012337924,0.007453376,0.0074737547,0.062702626,1.5904117e-11,1.5841583e-11,1.2139163e-10,5.5703943e-08,6.338063e-08,5.0000036e-08,9.629272e-06,5.717984e-06,0.000106047286,1.1524988e-05,1.0418178e-05,0.000106163105,0.0,0.0,611,0.12217663,0.25040492,0.16220194,0.0,0.006821295,0.018953003,0.0,0.0,0.0,-0.004271,0,0,0,165,24,0,0,0
32495719,-0.38427266,0.015481252,-0.0127049135,0.9230025,-0.37467837,0.19556364,0.11499304,-0.3291236,0.20612898,3.0288851,1.4823872e-05,3.665335e-06,-9.845293e-05,-0.00028204476,-0.00096317224,0.001079144,0.15794145,-0.017738024,0.5147352,0.035376277,0.08920486,0.02685735,0.0,0.0,8.44126e-11,7.3476253e-06,0.0006384116,0.00017831937,5.033743e-06,5.2804303e-06,4.2762425e-05,0.0053055263,0.005321713,0.012373084,0.0074524125,0.0074719153,0.06268417,1.5754209e-11,1.569353e-11,1.2021698e-10,5.5601994e-08,6.3177865e-08,5e-08,9.53554e-06,5.675363e-06,0.000105818486,1.145614e-05,1.0319369e-05,0.00010596291,0.0,0.0,611,0.122165166,0.25036806,0.20815833,0.0,0.0065541924,0.004753989,0.0,0.0,0.0,-0.004238,0,0,0,165,24,0,0,0
32696480,-0.38562268,0.0154646,-0.012176525,0.92244667,-0.35672906,0.17639236,0.11260687,-0.31110924,0.18690856,3.0384886,1.3903133e-05,3.4575323e-06,-9.829524e-05,-0.00026973872,-0.00097164576,0.0010820392,0.15749858,-0.017687328,0.51454484,0.034971993,0.088962466,0.027168663,0.0,0.0,7.567756e-11,6.6014036e-06,0.0005537254,0.00017889409,5.0206795e-06,5.2602445e-06,4.3069056e-05,0.0052147033,0.0052319625,0.012295697,0.007251015,0.007268978,0.061739724,1.558395e-11,1.552622e-11,1.1901106e-10,5.5491242e-08,6.296716e-08,5.0000036e-08,9.444283e-06,5.6331783e-06,0.000105587074,1.13866e-05,1.0219983e-05,0.00010575897,0.0,0.0,611,0.12049893,0.24847479,0.16803877,0.0,0.0062558223,0.018570723,0.0,0.0,0.0,-0.004276,0,0,0,165,24,0,0,0
32898894,-0.3867077,0.015397113,-0.011740344,0.92199916,-0.339869,0.16087872,0.11398447,-0.29498297,0.17096883,3.0604634,1.3082175e-05,3.1611842e-06,-9.7952216e-05,-0.00025890552,-0.00097485573,0.0010792848,0.15702896,-0.017592924,0.51437247,0.034521103,0.08874348,0.027429625,0.0,0.0,6.3331056e-11,5.7866428e-06,0.00066556525,0.00017917802,5.00594e-06,5.239173e-06,4.3306416e-05,0.005140361,0.005159751,0.012225747,0.007084405,0.007101621,0.060906567,1.541626e-11,1.5358615e-11,1.1767358e-10,5.53735e-08,6.273535e-08,5e-08,9.347214e-06,5.5866913e-06,0.00010533304,1.13132e-05,1.0113589e-05,0.00010553449,0.0,0.0,611,0.11910511,0.24679255,0.10548494,0.0,0.0059851343,0.007955698,0.0,0.0,0.0,-0.004262,0,0,0,165,24,0,0,0
33099690,-0.38799292,0.0156492,-0.01161145,0.9214564,-0.35856074,0.16707155,0.1143637,-0.3316013,0.18577868,3.0757372,1.285604e-05,3.0053072e-06,-9.770704e-05,-0.00025762012,-0.00097490766,0.0010811612,0.1567185,-0.01748878,0.5143015,0.034242634,0.088640705,0.027535317,0.0,0.0,6.336331e-08,0.00029119902,0.0023222507,0.00017982282,5.0962226e-06,5.3232147e-06,4.3680433e-05,0.005643211,0.0056696837,0.012504254,0.008253553,0.008276961,0.06299707,1.5395456e-11,1.532886e-11,1.1657605e-10,5.5303374e-08,6.255489e-08,5e-08,9.270584e-06,5.5468818e-06,0.00010512442,1.1260492e-05,1.00338775e-05,0.000105351806,0.0,0.0,739,0.12857105,0.25099218,0.23851362,0.0,0.00032259844,0.0050537917,0.0,0.0,0.0,-0.004267,0,0,0,165,24,0,0,0
33300500,-0.39016426,0.016148206,-0.01162209,0.9205303,-0.40735728,0.18187776,0.122248664,-0.41486672,0.22202976,3.113564,1.3201405e-05,3.2454393e-06,-9.8307086e-05,-0.0002689303,-0.0009904356,0.0010828769,0.15636007,-0.017433945,0.5140912,0.03405507,0.08844424,0.027918296,0.0,0.0,4.1419597e-08,0.00023507282,0.0022837531,0.00018054707,5.256566e-06,5.4784655e-06,4.402661e-05,0.00658949,0.00662732,0.012626862,0.010740413,0.0107793305,0.06394713,1.5460555e-11,1.537775e-11,1.1551351e-10,5.526242e-08,6.239303e-08,5e-08,9.201742e-06,5.507543e-06,0.00010493217,1.1217665e-05,9.967926e-06,0.00010518491,0.0,0.0,739,0.14669609,0.2528777,0.19207583,0.0,0.00040412578,0.019741967,0.0,0.0,0.0,-0.004256,0,0,0,165,24,0,0,0
33502097,-0.39139476,0.016487671,-0.011908274,0.91999817,-0.45087522,0.20193984,0.121977285,-0.5038663,0.26352257,3.133978,1.3389792e-05,3.2277533e-06,-9.816853e-05,-0.00027538085,-0.0009914896,0.0010851307,0.15614177,-0.017325368,0.5141167,0.033898942,0.088420436,0.027942605,0.0,0.0,3.0326856e-08,0.00019308916,0.0020259663,0.00018120564,5.4155184e-06,5.634204e-06,4.4386827e-05,0.0076263077,0.0076807006,0.01258925,0.013885109,0.013947769,0.0637447,1.5522793e-11,1.5423824e-11,1.1444937e-10,5.5220873e-08,6.22293e-08,5e-08,9.135417e-06,5.4683364e-06,0.000104746265,1.11756435e-05,9.9051285e-06,0.00010502289,0.0,0.0,739,0.16683188,0.25247714,0.09704514,0.0,0.0005038928,0.04870996,0.0,0.0,0.0,-0.004259,0,0,0,165,24,0,0,0
