timestamp,alt_max,landed,freefall,ground_contact,maybe_landed
30790405,inf,1,0,0,0
31799399,inf,1,0,0,0
32810403,inf,1,0,0,0
32998400,inf,0,0,1,0
33293400,inf,0,0,0,1
33630400,inf,1,0,0,0
34641404,inf,1,0,0,0
34832400,inf,0,0,1,0
35837410,inf,0,0,1,0
36320400,inf,0,0,0,0
37325674,inf,0,0,0,0
38334449,inf,0,0,0,0
39343410,inf,0,0,0,0
40352402,inf,0,0,0,0
41360399,inf,0,0,0,0
42366459,inf,0,0,0,0
43378400,inf,0,0,0,0
44386452,inf,0,0,0,0
45394400,inf,0,0,0,0
46404764,inf,0,0,0,0
47412400,inf,0,0,0,0
48416400,inf,0,0,0,0
49423795,inf,0,0,0,0
50434400,inf,0,0,0,0
51440401,inf,0,0,0,0
52447867,inf,0,0,0,0
54467412,inf,0,0,0,0
55477467,inf,0,0,0,0
56488498,inf,0,0,0,0
57498409,inf,0,0,0,0
57603401,inf,0,0,0,1
57938396,inf,1,0,0,0
