timestamp,accel_inconsistency_m_s_s,gyro_inconsistency_rad_s,mag_inconsistency_ga
31483023,0.3564934,0.010741267,0.0
57350160,0.35187525,0.0104656955,0.0
57550444,0.28311318,0.008237061,0.0
57755036,0.23836312,0.008091267,0.0
57955842,0.26428995,0.008290644,0.0
58160995,0.2562779,0.008749697,0.0
